chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AirLaw,11,"The aircraft commander, when he has reasonable grounds to believe that a person has commited or is about to commit, on board the aircraft, an offense against penal law",may deliver such person to the competent authorities,may request such person to disembark,may require the assistance of passengers to restrain such person,may not require or authorise the assistance of other crew members,A,"Under the Tokyo Convention, the aircraft commander has the authority to deliver a passenger to competent national authorities if they have reasonable grounds to believe an offense against penal law has been committed on board. This authority is essential for maintaining safety and law and order during flight. Passengers and crew members are authorized to assist the commander in restraining such persons."
AirLaw,12,Any contracting state may denounce the Convention of Tokyo by notification addressed,International Civile Aviation Organisation,the other Contracting States,United Nations,to all States Members of United Nations,A,The Tokyo Convention states that any contracting state may denounce the convention by written notification addressed directly to ICAO. This notification process ensures that the organization can keep an accurate record of signatory parties. The denunciation typically becomes effective a specified period after ICAO receives the notice.
AirLaw,13,"The convention on offences and certain acts committed on board aircraft, is :",the convention of Tokyo,the convention of Paris,the convention of Rome,the convention of Chicago,A,The Tokyo Convention of 1963 specifically addresses offences and certain other acts committed on board aircraft while in flight. It defines the jurisdiction of the state of registry and outlines the powers of the aircraft commander to maintain order and safety. It is a key piece of international aviation security law.
AirLaw,14,"""""Cabotage"""" refers to:","domestic air services ,","a national air carrier,","a flight above territorial waters,",crop spraying,A,"Cabotage refers to the transport of passengers, mail, or cargo between two points within the territory of the same state by an aircraft registered in another state. Article 7 of the Chicago Convention addresses cabotage, stating that each contracting state has the right to refuse permission to foreign aircraft. It is designed to protect domestic air services from foreign competition."
AirLaw,15,The second freedom of the air is the :,right to land for a technical stop,right to overfly without landing,"right to """"cabotage"""" traffic, (trans-border traffic).",right to operate a commercial passenger flight with passengers on board between two states.,A,"The second freedom of the air is a technical privilege allowing an aircraft registered in one state to land in another contracting state for non-traffic purposes. Typical reasons include refuelling, maintenance, or emergency situations without loading or discharging any passengers or cargo. It represents one of the foundational transit rights agreed upon at the Chicago Convention."
AirLaw,16,The first freedom of the air is:,The right to overfly without landing.,The right to land for a technical stop.,The opportunity to operate a commercial flight with passengers on board between two states.,The right to board passengers from the state where the aircraft is registered and to fly to an other state.,A,The first freedom of the air is the right or privilege granted by one state to another to fly across its territory without landing. This is a basic transit right that allows airlines to plan efficient routing over neighboring countries. It forms the baseline of international airspace navigation agreements.
AirLaw,17,"The convention which deals with offences againts penal law, is",the convention of Tokyo,the convention of Warsaw,the convention of Rome,the convention of Madrid,A,The Tokyo Convention of 1963 is the primary international agreement dealing with offences against penal law and other acts committed on board aircraft. It gives the pilot-in-command specific authority to restrain and deliver offenders to local authorities upon landing. This helps resolve jurisdictional disputes when crimes occur in international airspace.
AirLaw,18,The convention of Tokyo applies to damage :,"caused in the territory of a contracting state or in a ship or aircraft registered there in , by an aircraft registered in the territory of another contraction state",only caused in the territory of a contracting state by an aircraft registered in the territory of another contracting state,caused in the territory of a contrating state by any aircraft regardless the registration,the above convention does not deal with this item,A,"The Tokyo Convention applies to offences committed on board registered aircraft while in flight or on the surface of the high seas. While it focuses on onboard behavior, it establishes that contracting states must take steps to restore control of the aircraft and preserve safety if an offense causes damage. This extends to protecting passengers and the aircraft itself from unlawful acts."
AirLaw,19,"The international convention defining rules relative to the responsibilities of international air carriers for the carriage of passengers, baggage and freight is the :",Warsaw Convention.,Tokyo Convention.,Hague Convention.,Montreal Convention.,A,"The Warsaw Convention of 1929 is the key international treaty regulating the liability of air carriers during the international carriage of passengers, luggage, and goods. It establishes a uniform system of documentation and caps liability for damages, unless willful misconduct is proven. This legal framework has been subsequently revised and updated by the Montreal Convention."
AirLaw,20,The Rome Convention and later amendments deals with :,Damage caused by foreign aircraft to third parties on the surface,Regulation of transportation of dangerous goods,Damage caused by any aircraft to third parties on the surface,offences and certain other acts committed on board aircraft,A,"The Rome Convention of 1952 addresses the liability of foreign aircraft operators for damage caused to third parties on the surface. Under this convention, victims are entitled to compensation upon proof that the damage was caused by an aircraft in flight. It limits the liability of the operator to specified amounts based on the aircraft's weight."
AirLaw,21,The convention signed by the states and moved by a desire to endure adequate compensation for persons who suffer damage caused on the surface by foreign aircraft is :,the Rome Convention,the Warsaw Convention,the Paris Convention,the Tokyo Convention,A,"The Rome Convention was created to ensure adequate compensation for persons on the ground who suffer damage caused by foreign aircraft in flight. It simplifies the legal process by establishing strict liability, meaning the operator is liable upon proof of damage without needing to prove negligence. This protects third parties on the surface from the risks of international air traffic."
AirLaw,22,"Any person who suffers damage on the surface shall, upon proof only that damage was caused by an aircraft in flight or by any person or thing falling therefore will be entitled to compensation as provided by :",the Rome Convention,the Chicago Convention,the Warsaw Convention,the Montreal Convention,A,"According to the Rome Convention, a person on the surface is entitled to compensation for damage simply by proving that the damage was caused by an aircraft in flight, or by a person or object falling from it. This strict liability system ensures that ground victims are protected and compensated efficiently. It removes the burden of proving operator negligence."
AirLaw,23,When letters are used for the registration mark combinations shall not be used which might be confused with the,five letter combinations used in the international code of signals,four letter combinations beginning with Q,three letters combinations used in the international code of signals,letters used for ICAO identification documents,A,"ICAO guidelines state that registration mark combinations must not be confused with five-letter combinations used in the International Code of Signals. This prevents critical communication errors and misunderstandings during maritime and aeronautical emergencies. Ensuring distinct, non-overlapping codes is a fundamental aspect of global identification standards."
AirLaw,24,"The state of design shall ensure that, there exists a continuing structural integrity program to ensure the airworthiness of the aeroplane, which includes specific information concerning corrosion prevention and control, in respect of aeroplanes :",over 5.700 kg maximum certificate take-off mass,over 5.700 kg maximum certificate take-off and landing mass,up to 5.700 kg maximum certificate take-off mass,up to 5.700 kg maximum certificate take-off and landing mass,A,"The State of Design is responsible for ensuring that a continuing structural integrity program, including corrosion prevention, exists for aeroplanes over 5,700 kg maximum certificated take-off mass. This program is essential to maintain the long-term airworthiness of larger commercial aircraft. It ensures that structural fatigue and environmental degradation are monitored and mitigated throughout the aircraft's service life."
AirLaw,25,The loading limitations shall include :,"all limiting mass, centres of gravity position, mass distributions and floor loadings",all limiting mass and centres of gravity,"all limiting mass, mass distributions and centres of gravity","all limiting mass, centres of gravity position and floor loadings",A,"Weight and balance limitations must encompass all limiting masses, center of gravity positions, mass distributions, and floor loading limits. These parameters ensure the aircraft remains controllable and structurally sound under all operating conditions. Operating outside these certified envelopes can lead to severe structural damage or loss of control."
AirLaw,26,The assigment of the common mark to a common mark registering authority will be made by :,the International Civil Aviation Organisation,the state of registry and accepted by the International Telecommunication Union,the International Telecommunication Union,the state of registry,A,The assignment of a common mark to a common mark registering authority is made directly by ICAO. This allows international operating agencies to register aircraft under a joint authority rather than a single state. It is a critical provision of Annex 7 for joint or international air transport operations.
AirLaw,27,The common mark shall be selected from the series of symbols included in the radio call signs allocated :,to the International Civil Aviation Organisation by the International Telecommunication Union,to the state of registry by the International Civil Aviation Organisation,to the State of registry by the International Telecommunication Union,to state of the operator,A,The common mark for joint registration must be selected from a series of symbols allocated to ICAO by the International Telecommunication Union (ITU). The ITU is the global body responsible for radio frequency and call sign allocations. This coordination ensures that common marks are globally unique and compatible with existing radio communication systems.
AirLaw,28,"The registration mark shall be letters, numbers or a combination of letters and numbers and shall be that assigned by :",the state of registry or common mark registering authority,the state of registry only,the International Civil Aviation Organisation,the Internationnal Telecommunication Union,A,"Aircraft registration marks are assigned by the state of registry or a recognized common mark registering authority. The mark must consist of letters, numbers, or a combination of both as defined by national and international regulations. This identification is unique to the aircraft and is registered in the state's national registry."
AirLaw,29,When letters are used for registration mark combinations shall not be used which might be confused with urgent signals for example,TTT,FFF,RCC,LLL,A,"Registration mark combinations must avoid letters that could be confused with distress or urgent signals, such as the radio telegraph distress signal TTT. This precaution prevents false alerts and keeps distress frequencies clear of confusion. Standardizing these exclusions is mandatory under ICAO Annex 7."
AirLaw,30,When letters are used for registration mark combinations shall not be used which might be confused with urgent signals for example,PAN,RCC,LLL,DDD,A,"To avoid confusion with critical urgency transmissions, registration marks must not use letter combinations like PAN, which is the international urgency signal. This rule is designed to prevent communications personnel and pilots from misinterpreting a registration mark as an active emergency call. Adhering to Annex 7 guidelines ensures safety and clarity in aviation communications."
AirLaw,31,When letters are used for the registration mark combinations shall not be used which might be confused with urgent or distress signals for example,XXX,DDD,RCC,LLL,A,"Aircraft registration marks must not contain three-letter combinations like XXX, which is the international radiotelegraph urgency signal. This restriction is crucial to ensure that emergency communications are not blocked or misidentified. It is a safety measure set forth in ICAO Annex 7."
AirLaw,32,The height of the marks under the wings of heavier than air aircraft shall be,at least 50 centimetres,at least between 40 centimetres and 50 centimetres,at least 60 centimetres,at least 75 centimetres,A,"According to ICAO Annex 7, the height of the registration and nationality marks on the wings of heavier-than-air aircraft must be at least 50 centimeters. This minimum size ensures the aircraft can be easily identified from the ground or by other aircraft. Proper visibility of markings is key for regulatory oversight and air traffic monitoring."
AirLaw,33,The height of the marks on the fuselage (or equivalent structure) and on the vertical tail surfaces of heavier than air aircraft shall be,at least 30 centimetres,at least 40 centimetres,at least 20 centimetres,at least between 20 centimetres and 40 centimetres,A,ICAO Annex 7 specifies that registration marks on the fuselage or vertical tail surfaces of heavier-than-air aircraft must be at least 30 centimeters in height. This size standard ensures clear readability during taxiing and low-altitude operations. Uniform size standards are required across all contracting states to facilitate identification.
AirLaw,34,The profeciency check of a pilot took place the 15th of April. The validity of the previous profeciency check was the 30th of June. The period of the new profeciency check can be and can't exceed:,31th of December the same year,15th of October the same year,30th of October the same year,30th of April the following year,A,"If a pilot's proficiency check is conducted within the 3 months prior to the expiry date, the new validity period extends from the original expiry date. However, if it is done earlier, the new validity period begins from the date of the check. In this scenario, because the check took place on April 15th, well before the June 30th expiry, the new validity is calculated from the check date and cannot exceed the end of that calendar year (December 31st)."
AirLaw,35,"The prescribed re-examination of a licence holder operating in an area distant from designated medical examination facilities may be deferred at the discretion of the licence authority, provided that such deferment shall only be made as an exception and shall not exceed:",A single period of six month in the case of a flight crew member of an aircraft engaged in non-commercial operations.,Two consecutive periods each of three month in the case a flight crew member of an aircraft engaged in non-commercial operations.,A single period of three month in the case of a flight crew member of an aircraft engaged in commercial operations.,Two consecutive periods each of six month in the case of a flight crew member of an aircraft engaged in non-commercial operations.,A,"For flight crew members engaged in non-commercial operations, the licensing authority may defer the medical re-examination under exceptional circumstances. This deferment is limited to a single period of six months. Such exceptions are granted only when the pilot is operating in a remote area far from designated medical facilities."
AirLaw,36,"When a contracting state renders valid a licence issued by another contracting state, the validity of the authorization:",Shall not extend beyond the period of validity of the licence.,Depends on the regulations of the contracting sate which renders valid the licence.,Shall not extend beyond one year for ATPL and PCL.,Is only considered for PPL.,A,"When a contracting state validates a license issued by another state, the authorization's validity is strictly limited. It cannot extend beyond the expiry date of the original license. This ensures that the pilot remains qualified and medically fit under the standards of the issuing authority."
AirLaw,37,Which of the following Annexes to the Chicago convention contains minimum specifications for a crew licence to have international validity?,Annex 1,Annex 2,Annex 3,Annex 4,A,"ICAO Annex 1 (Personnel Licensing) contains the minimum standards and specifications for flight crew licensing to ensure international validity and recognition. It details the requirements for experience, knowledge, and medical fitness for pilots, flight engineers, and air traffic controllers. Compliance with Annex 1 is necessary for license validation between contracting states."
AirLaw,38,You may act as a flight instructor to carry out flight instruction for the issue of a PPL,With a theorical CPL examination plus flight instructor rating,With an ATPL,With a PPL plus flight instructor rating,With a CPL,A,"To act as a flight instructor for the issue of a PPL, you must hold a pilot license with the appropriate flight instructor rating. Additionally, you must have passed the theoretical Commercial Pilot License (CPL) examination. This ensures the instructor has the advanced technical knowledge necessary to train new pilots safely."
AirLaw,39,The validity of the instrument-rating aeroplane - IR(A) is :,1 year,6 months,5 years,2 years,A,"The validity period of an Instrument Rating for aeroplanes - IR(A) is exactly 1 year. To maintain the privileges of the rating, the holder must undergo a revalidation proficiency check before the rating expires. If the rating expires, the pilot must meet renewal requirements to restore their instrument flying privileges."
AirLaw,40,The minimum age for obtaining a PPL is :,17 years,16 years,18 years,21 years,A,"Under international licensing regulations, the minimum age required to obtain a Private Pilot License (PPL) is 17 years. While student pilots may fly solo at 16, they cannot be issued the final license until they reach 17 and complete all training requirements. This age limit is standard across ICAO member states."
AirLaw,41,"To be able to execute a public transport flight, the minimum and maximum age (with ATPL) is :",21 and 59 years,16 and 60 years,17 and 59 years,18 and 60 years,A,"To act as pilot-in-command of an aircraft engaged in public transport, the pilot must be at least 21 years of age and not have reached 60. This age range is designed to balance maturity and experience against the physiological risks of aging in commercial flight ops. Some states allow operations up to age 65 under specific multi-pilot conditions."
AirLaw,42,The holder of a pilot's licence should inform the Authority of any illness which they are suffering which involves incapacity to undertake those functions to which the licence relates throughout a period of a certain number of days or more. The number of days is :,21,30,60,90,A,A pilot license holder must notify the licensing authority of any illness or injury that prevents them from performing flight duties for a period of 21 days or more. This reporting requirement ensures that pilots do not fly with conditions that compromise safety. The medical certificate is suspended until the pilot is re-assessed and cleared by an aviation medical examiner.
AirLaw,43,"If a licence holder is unable to perform the flight crew functions appropriate to that licence due to illness, the authority must be informed :","After 21 days of consecutive """"illness""""",as soon as possible if the illness is expected to last more than 21days,after one calendar month of consecutive illness,if still not fit to fly when his/her current medical certificate expires,A,"License holders must inform their aviation authority as soon as possible if they suffer from an illness that is expected to last, or has lasted, for 21 consecutive days. This safety rule ensures that any temporary medical unfitness is officially noted and managed. The pilot's medical privileges are suspended during this period of incapacity."
AirLaw,44,"The holder of a pilot licence, when acting as co-pilot of an aircraft required to be operated with a co-pilot, shall be entitled to be credit with not more than :",50 % of the co-pilot flight time towards the total flight time required for a higher grade of pilot licence,"40 % of the co-pilot flight time towards, the total flight time required for a higher grade of a pilot licence",100 hours of flying time required for a higher grade of a pilot licence,"60 % of the co-pilot flight time towards, the total flight time required for a higher grade of a pilot licence",A,"Under standard licensing rules, a pilot acting as co-pilot in an aircraft requiring two pilots can credit up to 50% of that co-pilot flight time towards the total flight time required for a higher-grade pilot license. This rule ensures that while co-pilots gain valuable operational experience, they still need significant command experience to upgrade. Command time is credited at 100%."
AirLaw,45,The age of an applicant for a commercial pilot licence shall not be less than :,18 years of age,21 years of age,17 years of age,16 years of age,A,The minimum age requirement for an applicant seeking a Commercial Pilot License (CPL) is 18 years. This requirement ensures that the candidate has reached the legal age of majority and possesses the maturity required for commercial operations. A CPL allows the holder to act as pilot-in-command for compensation or hire.
AirLaw,46,An applicant for a commercial pilot licence shall hold,a current class I medical assessment,a current class II medical assessment,a current class III medical assessment,a current class medical assessment as prescribed by the state issuing the licence,A,"An applicant for a Commercial Pilot License (CPL) must hold a current Class 1 Medical Assessment. This medical standard is much stricter than the Class 2 required for private pilots, reflecting the physical demands and safety responsibilities of commercial flying. The assessment must be periodically renewed to keep CPL privileges active."
AirLaw,47,Multi-engine / inoperative or simulated inoperative.,Land/inactive.,Amphibious/inactive or simulated inactive.,Single-engine/inactive.,1999-06-08 0:00,A,"In multi-engine flight training or testing, a simulated engine failure is initiated to teach and assess control under asymmetric thrust. The inactive engine is set to 'zero thrust' or 'feathered' to simulate inoperability. This training must only be conducted under controlled conditions to avoid actual emergency situations."
AirLaw,48,The privileges of the holder of a commercial pilot licence-aeroplane shall be :,to act as pilot-in command in any aeroplane engaged in operations other than commercial air transportation,to act as pilot in command in any aeroplane engaged in commercial air transportation,to act as pilot in command in any aeroplane certificate for single pilot operation other than in commercial air transportation,none of the answers are correct,A,"A Commercial Pilot License (CPL) holder is privileged to act as pilot-in-command of any aeroplane engaged in operations other than commercial air transportation. For commercial air transportation, they may act as co-pilot, or as pilot-in-command of single-pilot aircraft. This distinction ensures that large passenger transport aircraft are commanded by pilots with Airline Transport Pilot (ATPL) qualifications."
AirLaw,49,"An applicant for a commercial pilot licence-aeroplane shall have completed not less than ........ hours of cross country flight time as pilot in command including a cross country flight totalling not less than ........ km (-NM), in the course of which full stop landings at two different aerodromes shall be made. The hours and distance referred are :",20 hours and 540 km (300NM),10 hours and 270 km (150 NM),15 hours and 540 km (300NM),20 hours and 270 km (150NM),A,"An applicant for a Commercial Pilot License (CPL) aeroplane category must complete at least 20 hours of cross-country flight time as pilot-in-command. This must include a qualifying cross-country flight of not less than 540 km (300 NM), featuring full-stop landings at two aerodromes other than the aerodrome of departure. This flight tests the pilot's navigation and landing skills over a significant distance."
AirLaw,50,An applicant for a commercial pilot licence aeroplane shall have completed in aeroplanes not less than :,20 hours of cross country flight time as pilot-in-command including a cross country flight not less than 540 km (300NM),10 hours of cross country flight time as pilot-in-command including a cross country flight not less than 540 km (300NM),25 hours of cross country flight time as pilot-in-command including a cross country flight not less than 540 km (300NM),15 hours of cross country flight time as pilot-in-command including a cross country flight not less than 540 km (300NM),A,"To meet the requirements for a Commercial Pilot License (CPL) aeroplane category, candidates must log at least 20 hours of cross-country flight time as pilot-in-command. This experience must include a major cross-country trip covering a minimum distance of 540 km (300 NM) with full-stop landings at two different aerodromes. This is a key training milestone that prepares pilots for commercial cross-country routes."
AirLaw,51,"An applicant for an Airline Transport Pilot Licence aeroplane shall have completed in aeroplanes not less than ...... hours, either as pilot in command or made up by not less than ...... hours as pilot-in-command and the additional flight time as co- pilot performing, under the supervision of the pilot-in-command the duties and functions of a pilot in command provided that the method of supervision employed is acceptable to the licensing authority. The stated above hours are respectively :",250 hours and 100 hours,200 hours and 75 hours,200 hours and 100 hours,150 hours and 75 hours,A,"To obtain an Airline Transport Pilot License (ATPL) for aeroplanes, an applicant must have logged at least 250 hours as pilot-in-command (PIC). Alternatively, this can be satisfied by a combination of at least 100 hours as PIC, plus the remaining hours accumulated as co-pilot performing the duties of PIC under supervision (PICUS). These minimum command hours ensure a baseline level of decision-making experience prior to acting as a captain in commercial multi-pilot operations."
AirLaw,52,"The applicant for an Airline Transport Pilot Licence shall have completed in aeroplanes not less than ...... hours of cross-country flight time, of which not less than ...... hours shall be as pilot-in command or co-pilot performing, under the supervision of the pilot in command, the duties and functions of a pilot in command, provided that the method of supervision employed is acceptable to the licensing authority. The state above hours are respectively :",200 hours and 100 hours,250 hours and 10 hours,150 hours and 75 hours,200 hours and 75 hours,A,"The licensing requirements for an ATPL aeroplane category stipulate a minimum of 200 hours of cross-country flight time. Of this total, at least 100 hours must be completed either as pilot-in-command (PIC) or as co-pilot performing the duties and functions of PIC under supervision (PICUS). This ensures that candidates have substantial navigation experience and operational exposure across diverse routes before obtaining the highest level of pilot licence."
AirLaw,53,An applicant for an Airline Transport Pilot Licence shall have completed in aeroplanes not less than :,"75 hours of instrument time, of which not more than 30 hours may be instrument ground time.","100 hours of instrument time, of which not more than 30 hours of instrument ground time","150 hours of instrument time, of which not more than 75 hours of instrument ground time.","75 hours of instrument time, of which not more than 20 hours of instrument ground time.",A,"An applicant for an ATPL (aeroplane) must have completed at least 75 hours of instrument flight time. Within this requirement, a maximum of 30 hours is allowed to be accumulated as instrument ground time in an approved synthetic flight trainer. This balance ensures that the pilot has sufficient actual or simulated in-flight instrument experience supplemented by flight simulator training."
AirLaw,54,An applicant for an Airline Transport Pilot Licence shall have completed in aeroplanes not less than :,100 hours of night flight as pilot in command or as co-pilot,100 hours of night flight only as pilot in command,75 hours of night flight as pilot in command or as co-pilot,75 hours of night time only as pilot in command,A,"For the issuance of an ATPL (aeroplane), candidates are required to log at least 100 hours of night flight time. This experience can be accumulated either as pilot-in-command (PIC) or as co-pilot. Night operations introduce unique physiological and operational challenges, and this requirement ensures pilots are adequately proficient in low-light environments."
AirLaw,55,"The licensing authority shall determine whether experience as pilot under instruction in a synthetic flight trainer which it has approved, is acceptable as part of the total flight time of 1 500 hours. Credit for such experience shall be limited to a maximum of :","100 hours, of which not more than 25 hours shall have been acquired in a flight procedure trainer or basic instrument flight trainer",100 hours of which not more than 20 hours shall have been acquired in a basic instrument flight trainer,100 hours of which not more than 15 hours shall have been acquired in a flight procedure trainer or basic instrument flight trainer,75 hours of which not more than 20 hours shall have been acquired in a flight procedure trainer or basic instrument flight trainer,A,"Under ICAO rules, an approved synthetic flight trainer can be used to credit up to 100 hours of the total 1,500 hours required for an ATPL. However, within this 100-hour limit, no more than 25 hours can be logged in a basic instrument flight trainer or flight procedure trainer. This constraint ensures that the majority of simulator credits are gained in high-fidelity full flight simulators."
AirLaw,56,"An applicant holding a private or commercial pilot licence aeroplane for the issue of an instrument rating, shall have completed ..... hours of cross-country flight time as pilot-in-command of aircraft in categories acceptable to the licensing Authority, of which not less than ..... hours shall be in aeroplanes. The said hours, are respectively",50 hours and 10 hours,40 hours and 10 hours,40 hours and 15 hours,50 hours and 15 hours,A,"To qualify for an Instrument Rating (aeroplane) - IR(A), the applicant must have completed at least 50 hours of cross-country flight time as pilot-in-command. Furthermore, at least 10 hours of this cross-country time must be specifically completed in aeroplanes rather than helicopters or other categories. This ensures baseline navigation proficiency as a PIC before commencing advanced instrument operations."
AirLaw,57,"In certain circumstances a medical examination may be deferred at the discretion of the licensing authority, provided that such deferment shall only be made as an exception and shall not exceed :",A single period of six months in the case of a flight crew member of an aircraft engaged in non commercial operations.,Two consecutive periods each of three months in the case of a flight crew member of an aircraft engaged in non commercial operations,A single period of six months in the case of a flight crew member of an aircraft engaged in commercial operations.,"in the case of a private pilot, a single period of 12 months",A,"Under exceptional circumstances, a medical examination for a flight crew member may be deferred at the discretion of the licensing authority. For individuals engaged in non-commercial operations, this deferment is restricted to a single period not exceeding six months. This exception is typically applied when the pilot is operating in a remote area without access to authorized medical examiners."
AirLaw,58,The duration of the period of currency of a medical assessment shall begin on the date :,the medical assessment is issued,the licence is issued or validated,the licence is issued or renewed,the licence is delivered to the pilot,A,"The validity period of a medical assessment officially begins on the date the medical examination is completed and the assessment is issued. Even if a license is issued or renewed at a later date, the clock on the medical assessment's currency starts from the day of the clinical evaluation. This ensures that the pilot's physical fitness meets safety standards for the entire active period."
AirLaw,59,When a contracting state renders valid a licence issued by another contracting state the validity of the authorization,shall not extend beyond the period of validity of the licence,shall not extend more than 15 days from the date of the licence,the Contracting state rendering a licence valid may extend the date of the validity at its own discretion,shall not extend beyond the period of validity of the licence other than for use in private flights,A,"When a contracting state validates a foreign pilot license, the validation's validity is strictly tied to the original document. Specifically, the validation cannot extend beyond the expiry date of the foreign license itself. This prevents pilots from operating under an expired primary qualification, maintaining international safety standards."
AirLaw,60,When the holders of aircraft transport pilot licences aeroplane and helicopter have passed their 40th birthday the medical examination shall be reduced from :,12 months to 6 months,12 months to 3 months,24 months to 12 months,none of the answers are correct,A,"For holders of Airline Transport Pilot Licenses (ATPL) operating aeroplanes or helicopters, the medical renewal frequency increases once they pass their 40th birthday. The interval between medical examinations is reduced from 12 months to 6 months. This higher frequency of medical monitoring is designed to detect age-related physiological changes that could impact safety in multi-pilot commercial operations."
AirLaw,61,Type ratings shall be established,for any type of aircraft whenever considered necessary by the authority,only aircraft certificated for operation with a minimum crew of at least two pilots,only for aircraft certificated for operation with a minimum crew of at least two pilots and each type of helicopter,all the answers are correct,A,"Type ratings for aircraft are established to ensure flight crew are trained on the specific characteristics and systems of complex aircraft. The licensing authority establishes type ratings for any aircraft whenever it is deemed necessary for flight safety, particularly for multi-pilot aeroplanes and helicopters. Operating an aircraft without a valid type rating violates licensing regulations."
AirLaw,62,The holder of a pilot licence when acting as co-pilot performing under the supervision of the pilot in command the functions and duties of a pilot in command shall be entitled to be credit :,in full with his flight time towards the total time required for higher grade of pilot licence,in full with his flight but not more than 300 hours towards the total time required for a higher grade of pilot licence,the flight time towards the total time required for higher grade of pilot licence in accordance with the requirements of the licensing authority,50% of his flight time towards the total time required for higher grade of pilot licence,A,A co-pilot performing duties under the supervision of the pilot-in-command (PICUS) is entitled to credit that flight time in full towards the total flight time required for a higher-grade pilot license. This structure rewards structured command-experience building in multi-crew environments. The method of supervision must be acceptable to the state's licensing authority.
