chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
AGK,541,Landing gear torque links are used to:,prevent rotation of the landing gear piston in the oleo strut.,take up the lateral stresses to which the gear is subjected.,prevent the extension of the landing gear oleo strut rod.,maintain the compass heading throughout taxiing and take-off.,A,Torque links (also known as scissor links) are hinged arms connecting the stationary upper cylinder of a landing gear strut to the sliding lower piston. Their critical function is to prevent the lower piston and wheel assembly from rotating out of alignment while still allowing vertical shock-absorbing movement.
AGK,542,"A main landing gear is said to be """"locked down"""" when:",the strut is locked by an overcentre mechanism.,it is in the down position.,the actuating cylinder is at the end of it's travel.,the corresponding indicator lamp is amber.,A,"A landing gear is only considered safely ""locked down"" when its mechanical overcentre locking mechanism has fully engaged. This geometric lock ensures that the gear remains rigidly extended under the massive forces of landing, even if hydraulic pressure is completely lost."
AGK,543,The modern anti-skid processes are based on the use of a computer whose input data is:1. idle wheel speed (measured)2. braked wheel speed (measured)3. brake temperature (measured)4. desired idle wheel train slipping rate5. tire pressureThe combination regrouping all the correct statements is :,"1, 2, 4.","1, 2, 3, 4, 5.","2, 4.","1, 3.",A,"Modern anti-skid computers continuously calculate the optimal slip ratio to maximize braking efficiency. They do this by comparing the measured rotational speed of the braked wheels against a reference ""idle"" or unbraked aircraft speed, aiming for the desired optimal slipping rate to prevent skidding."
AGK,544,"On large aeroplanes equipped with power brakes, the main source of power is derived from :",the aeroplane's hydraulic system.,the master cylinders.,pressure to the rudder pedals.,the brake actuators.,A,"Because of the massive kinetic energy that must be dissipated to stop a large transport aeroplane, human foot pressure on the master cylinders is entirely insufficient. Therefore, power brakes derive their immense actuation force directly from the aeroplane's main high-pressure hydraulic system."
AGK,545,"""""Nose wheel shimmy"""" may be described as :",a possibly damaging vibration of the nose wheel when moving on the ground.,the oscillatory movement of the nose wheel when extended prior to landing.,the amount of free movement of the nose wheel before steering takes effect.,aircraft vibration caused by the nose wheel upon extension of the gear.,A,"Nose wheel shimmy is a highly unstable, rapid lateral oscillation of the nose gear during taxi, takeoff, or landing roll. If not properly damped by the torque links or a shimmy damper, this violent vibration can cause severe structural damage to the landing gear and forward fuselage."
AGK,546,The part of the flight that will cause the highest loads on the torsion link in a bogie gear is,Taxiing with a small turning radius.,Touch down with crosswind,Gear down selection,Braking with an inoperative anti skid system.,A,"The torsion (torque) links endure their highest stress during tight ground manoeuvres, such as taxiing with a small turning radius. The scrubbing forces of the heavy bogie tyres resisting the turn translate directly into massive torsional loads on the scissor links."
AGK,547,"Tyre """"creep"""" may be described as the :",circumferential movement of the tyre in relation to the wheel flange.,the increase in inflation pressure due to drease in ambient temperature.,the decrease in inflation pressure due to increase in ambient temperature.,gradual circumferential increase of tyre wear.,A,"Tyre ""creep"" refers to the unwanted circumferential slippage or movement of the tyre casing relative to the wheel rim. This usually occurs during heavy braking if the tyre is under-inflated, and can lead to the valve stem shearing off in tube-type tyres or bead damage in tubeless ones."
AGK,548,The ABS (Auto Brake System) is being diconnected after landing ..,by pilot action,automatically,at a certain low speed,the system is always armed,A,"The Auto Brake System (ABS) applies a predetermined rate of deceleration during the landing roll. Once the aircraft reaches a safe taxi speed, the system is typically disconnected by pilot action, usually by manually applying pressure to the rudder brake pedals to seamlessly take over manual braking."
AGK,549,The purposes of the oil and the nitrogen in an oleo-pneumatic strut are :,the oil supplies the damping function and the nitrogen supplies the spring function,the oil supplies the spring function and the nitrogen supplies the damping function.,"the oil supplies the sealing and lubrication function, the nitrogen supplies the damping function.","the oil supplies the damping and lubrication function, the nitrogen supplies the heat- dissipation function.",A,"In an oleo-pneumatic shock absorber, the compressed nitrogen gas acts as a pneumatic spring to support the aircraft's static weight and absorb initial shocks. The hydraulic oil is forced through restrictive orifices during strut compression and extension, providing the necessary viscous damping to dissipate the landing energy and prevent bouncing."
AGK,550,The function of a fusible plug is to,protect the tyre against explosion due to excessive temperature.,protect the brake against brake disk fusion due to excessive temperature.,function as a special circuit breaker in the electric system,protect against excessive pressure in the pneumatic system.,A,"A fusible plug is a critical safety feature built into the wheel rim, containing a core of metal alloy designed to melt at a specific high temperature. If brake heat transfers to the wheel and reaches dangerous levels, the plug melts, safely deflating the tyre and preventing a catastrophic thermal explosion."
AGK,551,(For this question use appendix )Associate the correct legend to each of the numbered diagrams :,1- cantilever 2- fork 3- half fork 4- dual wheels,1- half fork 2- fork 3- cantilever 4- tandem,1- cantilever 2- dual wheels 3- half fork 4- fork,1- half-fork 2- single trace 3- cantilever 4- dual wheels,A,"Landing gear designs vary depending on aircraft size and requirements. Common configurations include the cantilever (a single strut without external bracing), the fork (supporting the wheel on both sides), the half-fork (supporting one side), and dual wheels (two wheels mounted on a single axle for load distribution)."
AGK,552,A scissor is a component found on landing gears. Its function is to :,prevent any rotation of the oleo strut in the undercarriage shock absorber.,create the wheel pitch on bogie gears.,transform the translational movement of the rudder pedals into the rotational movement of the nosewheel.,make the body gears pivot when the nosewheel is turned through more than 20°.,A,"A scissor, or torque link assembly, consists of two hinged arms connecting the fixed and moving parts of an oleo strut. Its primary purpose is to maintain wheel alignment by preventing any rotational movement of the sliding piston within the shock absorber cylinder."
AGK,553,"Compared to a tyre fitted with an inner tube, a tubeless tyre presents the following characteristics :1 - high heating2 - valve fragility3 - lower risk of bursting4 - better adjustment to wheelsThe combination containing all the correct statements is:",04-Mar,03-Fev,04-Fev,1 - 2 - 3 - 4,A,"Compared to traditional tube-type tyres, tubeless tyres run cooler, are less prone to explosive bursting upon puncture, and conform better to the wheel rim. They also eliminate the risk of valve shear caused by tube creep and internal friction between the tube and the tyre casing."
AGK,554,"On a modern aeroplane, to avoid the risk of tyre burst from overheating, due for example to prolonged braking during an aborted take-off, there is:",a hollow bolt screwed into the wheel which melts at a given temperature (thermal fuse) and deflates the tyre.,a pressure relief valve situated in the filler valve.,"the """"Emergency Burst"""" function of the anti-skid system which adapts braking to the tyre temperature.",water injection triggered at a fixed temperature in order to lower tyre temperature.,A,"To prevent a tyre explosion following heavy braking events, such as a rejected take-off, modern aircraft wheels are fitted with thermal fuses. These hollow bolts contain a low-melting-point alloy that melts when the wheel rim overheats, safely releasing the tyre pressure before it bursts."
AGK,555,"On an aircraft landing gear, an under-inflated tyre:",will wear at the shoulders,it's tread will deteriorate faster,will have an increased critical hydroplanning speed,will be more subject to viscosity aquaplaning on dry runway,A,"Operating an aircraft with an under-inflated tyre causes the centre of the tread to bow inward, forcing the outer edges (the shoulders) to bear the brunt of the load. This improper weight distribution leads to rapid, excessive wear on the tyre's shoulders and increases the risk of carcass failure due to flex heating."
AGK,556,The trim tab :,reduces hinge moment and control surface efficiency.,reduces hinge moment and increases control surface efficiency.,increases hinge moment and control surface efficiency.,increases hinge moment and reduces control surface efficiency.,A,"A conventional trim tab acts aerodynamically to hold the main control surface in a deflected position, effectively reducing the pilot's control stick forces (hinge moment) to zero. However, because the tab deflects in the opposite direction to the main surface, it slightly reduces the overall aerodynamic efficiency of the control surface."
AGK,557,The purpose of a trim tab (device) is to:,reduce or to cancel control forces.,trim the aeroplane during normal flight.,trim the aeroplane at low airspeed.,lower manoeuvring control forces.,A,"The primary purpose of any trim device, including a trim tab, is to aerodynamically balance the aircraft in a specific flight attitude. By adjusting the trim tab, the pilot can cancel out the constant control stick forces required to maintain steady flight, significantly reducing pilot workload."
AGK,558,An artificial feel unit is necessary in the pitch channel when:,the elevators are actuated by irreversible servo-control units.,the elevators are fitted with servo-tabs or trim tabs.,there is a trimmable stabilizer.,the elevators are actuated by reversible servo-control units.,A,"Irreversible servo-control units (fully hydraulic flight controls) completely isolate the pilot from the aerodynamic loads acting on the control surfaces. Therefore, an artificial feel unit must be incorporated into the pitch channel to synthesize and feed back realistic control forces to the control column, preventing the pilot from overstressing the airframe."
AGK,559,An artificial feel unit system:,must be mounted in parallel on an irreversible servo-control unit.,must be mounted in series on an irreversible servo-control unit.,is necessary on a reversible servodyne unit.,is mounted in parallel on a spring tab.,A,"An artificial feel unit is mounted in parallel with the pilot's control inputs on an irreversible hydraulic flight control system. As the pilot moves the controls and aircraft speed changes (sensed via pitot-static data), the feel unit artificially generates resistance, simulating the natural aerodynamic loads that the irreversible hydraulics have removed."
AGK,560,A Yaw Damper is :,"A rudder damper designed to avoid the """"Dutch roll"""".",An elevator augmentor.,An elevator augmentor to avoid the nose-down effect at speeds greater than M=0.8.,A roll trim tab.,A,"A Yaw Damper is an automated flight control system that uses rate gyros to sense rapid yawing oscillations. It automatically applies small, rapid inputs to the rudder to dampen out these oscillations, specifically preventing the development of a complex aerodynamic instability known as ""Dutch roll"" in swept-wing aircraft."
AGK,561,"In a steep turn to the left, when using spoilers ...","The right aileron will descend, the left one will ascend, the right spoiler will retract and the left one will extend.","The right aileron will descend, the left one will ascend, the right spoiler will extend and the left one will retract.","The right aileron will ascend, the left one will descend, the right spoiler will extend and the left one will retract.","The right aileron will ascend, the left one will descend, the right spoiler will retract and the left one will extend.",A,"To initiate a steep turn to the left, the pilot commands left roll. The left aileron ascends (reducing lift) and the left roll spoilers extend (destroying lift), causing the left wing to drop. Conversely, the right aileron descends (increasing lift) and right spoilers retract, raising the right wing."
AGK,562,The advantages of fly-by-wire control are:1. reduction of the electric and hydraulic power required to operate the control surfaces2. lesser sensitivity to lightning strike3. direct and indirect weight saving through simplification of systems4. immunity to different interfering signals5. improvement of piloting quality throughout the flight envelopeThe combination regrouping all the correct statements is :,3 and 5,1 and 2,1 and 5,2 and 3,A,"Fly-by-wire (FBW) replaces heavy mechanical linkages (cables, pulleys) with electrical wires, leading to direct weight savings and simplified maintenance. Furthermore, FBW computers can process pilot inputs to provide flight envelope protection and optimize control surface deflections, significantly improving overall piloting quality and safety."
AGK,563,"Which of these signals are inputs, at least, in the stall warning computers?",Angle of attack and flaps and slats deflection.,Angle of attack and flaps and spoilers deflection.,"Angle of attack, flaps deflection and EPR.","Angle of attack, flaps deflection, EPR and N1.",A,"To accurately predict an impending aerodynamic stall, the stall warning computer must continuously monitor the aircraft's current Angle of Attack (AoA). Because deploying high-lift devices like flaps and slats significantly alters the wing's stalling AoA, their current deflection positions must also be input into the computer to adjust the stall threshold dynamically."
AGK,564,"On an aircraft, the Krueger flap is a:",leading edge flap,trailing edge flap,leading edge flap close to the wing root,leading edge flap close to the wing tip,A,"A Krueger flap is a type of leading-edge high-lift device used on aircraft wings. Unlike a slat that slides forward to create a slot, a Krueger flap hinges outward and downward from the lower surface of the wing's leading edge to increase wing camber and lift."
AGK,565,The reason for the trim switch on a control column to consist of two separate switches is,To reduce the probability of a trim-runaway,To prevent that both pilots perform opposite trim inputs.,Because there are two trim motors.,"To be able to use two different trim speeds, slow trim rate at high speed and high trim rate at low speed",A,"The pitch trim switches on the control column are split into two halves that must be actuated simultaneously to operate the trim motor. This design prevents a single electrical short or mechanical failure from causing a hazardous, uncommanded trim runaway."
AGK,566,"On an aeroplane, spoilers are :","upper wing surface devices, their deflection is symmetrical or asymmetrical.","lower wing surface devices, their deflection is symmetrical or asymmetrical.","upper wing surface devices, their deflection is always asymmetrical.","lower wing surface devices, their deflection is always asymmetrical.",A,"Spoilers are hinged plates located on the upper surface of the wings that disrupt (spoil) the airflow over the wing, reducing lift and increasing drag. They can be deployed symmetrically as speed brakes or ground spoilers, and asymmetrically to augment roll control."
AGK,567,"On an airplane, the Krueger flaps are:",leading edge flaps close to the wing root,trailing edge flaps close to the wing root,trailing edge flaps close to the wing tip,leading edge flaps close to the wing tip,A,"On many swept-wing transport aircraft, Krueger flaps are specifically installed on the inboard leading edge section close to the wing root. This inboard location helps promote a root-first stall characteristic, ensuring the outboard ailerons remain effective for roll control during a stall."
AGK,568,Hydraulic fluids must have the following characteristics:1. thermal stability2. low emulsifying characteristics3. corrosion resistance4. good resistance to combustion5. high compressibility6. high volatility7. high viscosityThe combination regrouping all the correct statements is :,"1, 2, 3, 4","1, 2, 5, 7","2, 3, 4, 5","1, 3, 4, 6",A,"Ideal hydraulic fluids must exhibit strong thermal stability, low emulsifying characteristics to prevent water mixing, and excellent corrosion resistance to protect system components. Furthermore, they require good resistance to combustion (low flammability) to minimize fire risks in high-pressure environments."
AGK,569,"In a hydraulic braking system, an accumulator is precharged to 1200 psi.An electrically driven hydraulic pump is started and provides a system pressure of 3000 psi. The hydraulic pressure gauge which is connected to the gas section of the accumulator, reads:",3000 psi,1200 psi,4200 psi,1800 psi,A,"The gas section of an accumulator is separated from the hydraulic fluid by a floating piston or diaphragm. Because the gas compresses until its pressure equalizes with the incoming hydraulic fluid pressure, the gauge connected to the gas side will also read the system pressure of 3000 psi."
AGK,570,Hydraulic fluids :,Are irritating to eyes and skin.,Cause high fire risk.,Do not require special care.,Are irritating to eyes and skin and cause high fire risk.,A,"Aviation hydraulic fluids, particularly synthetic phosphate ester-based fluids like Skydrol, contain harsh chemical compounds. These fluids are highly irritating to human skin, eyes, and respiratory tracts, necessitating the use of proper personal protective equipment during maintenance."
AGK,571,Hydraulic fluids used in systems of large modern airliners are:,Phosphate ester base fluids.,Water base fluids.,Vegetable base fluids.,Mineral base fluids.,A,"Modern large transport airliners predominantly use synthetic phosphate ester-based hydraulic fluids (such as Skydrol or HyJet). These fluids are chosen primarily for their exceptional fire resistance compared to mineral-based oils, despite being highly corrosive to certain plastics and paints."
AGK,572,Hydraulic power is a function of :,System pressure and volume flow.,Pump RPM only.,System pressure and tank capacity.,Pump size and volume flow.,A,"In a hydraulic system, the total mechanical power transmitted is the product of the fluid pressure and the volume flow rate. High pressure provides the necessary force to move heavy flight controls, while adequate volume flow dictates the speed of actuation."
AGK,573,Large transport aeroplane hydraulic systems usually operate with a system pressure of approximately:,3000 psi,4000 psi,2000 psi,1000 psi,A,"The standard operating pressure for hydraulic systems on most conventional large transport aeroplanes is approximately 3000 psi. This high pressure allows for the use of smaller, lighter actuators to generate the massive forces required for flight controls and landing gear."
AGK,574,In hydraulic systems of large modern transport category aircraft the fluids used are:,Synthetic oil.,Mineral oil.,Vegetable oil.,Water and glycol.,A,"Modern transport category aircraft utilize synthetic oil-based hydraulic fluids, specifically phosphate esters. These synthetic fluids offer superior fire resistance and a wider operating temperature range compared to older mineral or vegetable oil-based fluids."
AGK,575,The type of hydraulic oil used in modern hydraulic systems is:,synthetic oil,vegetable oil,mixture of mineral oil and alcohol,mineral oil,A,"To meet the rigorous safety and performance demands of modern jet aircraft, synthetic hydraulic oils are the standard. They provide crucial resistance against flammability in high-temperature environments, such as near hot engine casings or wheel brakes."
AGK,576,The type of hydraulic fluid which has the highest resistance against cavitation is :,Synthetic fluid.,Mineral oil based fluid.,Vegetable oil based fluid (caster oil).,Water and glycol based fluid.,A,"Synthetic hydraulic fluids are engineered to have specific vapour pressures and anti-foaming characteristics that make them highly resistant to cavitation. Cavitation, the formation and collapse of vapour bubbles, can severely damage hydraulic pumps and degrade system performance."
AGK,577,The component that transforms the hydraulic pressure into a linear motion is called ...,An actuator or jack.,A hydraulic pump.,An accumulator.,A Pressure regulator.,A,"A hydraulic actuator (often called a jack or cylinder) is the component responsible for converting the fluid pressure into mechanical work. As pressurized fluid enters the cylinder, it forces the internal piston to extend or retract, producing a linear motion."
AGK,578,The aircraft hydraulic system is designed to produce:,high pressure and large flow.,high pressure and small flow.,small pressure and large flow.,small pressure and small flow.,A,"Aircraft hydraulic systems are optimized to operate at very high pressures (typically 3000 to 5000 psi), which allows for the transmission of massive forces using relatively small volumes of fluid. This high-pressure, low-flow design minimizes the physical size and weight of the hydraulic lines and actuators."
AGK,579,Hydraulic fluids of synthetic origin are:,purple.,pink.,blue.,red.,A,"To prevent accidental mixing of incompatible fluids, aviation hydraulic fluids are dyed specific colours. Synthetic phosphate ester-based fluids, widely used in modern commercial aviation, are distinctively dyed purple."
AGK,580,"(For this question use annex 021-6716A)In the hydraulic press schematically shown, what balancing Force would be acting on the right hand side ? (The diagram is not to scale)",100 N.,1000 N.,20 N.,1 N.,A,"According to Pascal's Principle, pressure exerted anywhere in a confined incompressible fluid is transmitted equally in all directions. If the area of the right-hand piston is ten times smaller than the left-hand piston, the balancing force required on the right will be proportionally ten times smaller to maintain equilibrium."
AGK,581,Internal leakage in a hydraulic system will cause :,an increased fluid temperature.,fluid loss.,a decreased fluid temperature.,an increased fluid pressure.,A,"Internal leakage occurs when hydraulic fluid slips past a worn seal or valve under high pressure without doing mechanical work. The friction generated as the high-pressure fluid is forced through these small clearances converts hydraulic energy directly into heat, significantly increasing the fluid's temperature."
AGK,582,"Discounting the possibility of leak, the level in a hydraulic reservoir will :",fluctuate with jack displacement and accumulator pressure.,always remain the same.,initially increase with system pressurisation.,increase as ambient temperature decreases.,A,"The fluid level in a hydraulic reservoir naturally fluctuates during normal operation. As large asymmetrical actuators (like landing gear jacks) extend or retract, or as accumulators charge and discharge, the volume of fluid residing within the system components changes, causing the reservoir level to rise and fall accordingly."
