chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer
Flight Planning,2108,"On a given path, it is possible to chose between four flight levels (FL), each associated with a mandatory flight Mach Number (M). The flight conditions, static air temperature (SAT) and headwind component (HWC) are given below: FL 370 - M = 0.80 Ts = -60°C HWC = -15 kt FL 330 - M = 0.78 Ts = -60°C HWC= - 5 kt FL 290 - M = 0.80 Ts = -55°C HWC = -15 kt FL 270 - M = 0.76 Ts = -43°C HWC = 0The flight level allowing the highest ground speed is:",FL270,FL290,FL330,FL370,A
Flight Planning,2109,"A twin-jet aeroplane carries out the WASHINGTON-PARIS flight. When it reaches point K (35°N - 048°W) a non-mechanical event makes the Captain consider rerouting to one of the three following fields. The flight conditions are: - from K to BERMUDAS (distance 847NM, headwind component=18 kt) - from K to SANTA MARIA (distance 1112 NM, tailwind component=120 kt)- from K to GANDER (distance 883 NM, wind component=0).With an aeroplane true airspeed of 460 kt, the field selected will be that more rapidly reached:","BERMUDAS or GANDER, or SANTA MARIA",SANTA MARIA,BERMUDAS,Either GANDER or BERMUDAS,A
Flight Planning,2110,"An aeroplane flies at an airspeed of 380 kt. lt flies from A to B and back to A. Distance AB = 480 NM. When going from A to B, it experiences a headwind component = 60 kt. The wind remains constant.The duration of the flight will be:",2h 35min,3h 00min,2h 10min,2h 32min,A
Flight Planning,2111,"You are flying a constant compass heading of 252°. Variation is 22°E, deviation is 3°W and your INS is showing a drift of 9° right. True track is ?",280°,224°,242°,262°,A
Flight Planning,2112,"Given : true track 017, W/V 340/30, TAS 420 ktFind : wind correction angle (WCA) and ground speed (GS)","WCA -2° , GS 396 kt","WCA +2° , GS 396 kt","WCA -2° , GS 426 kt","WCA +2° , GS 416 kt",A
Flight Planning,2113,"Flight planning chart for an aeroplane states, that the time to reach the cruising level at a given gross mass is 36 minutes and the distance travelled is 157 NM (zero-wind). What will be the distance travelled with an average tailwind component of 60kt ?",193 NM,128 NM,157 NM,228 NM,A
Flight Planning,2114,"(For this question use annex 033 11702 A)The measured course 042° T.The variation in the area is 6° W and the wind is calm.The deviation card is reproduced in the annex.In order to follow this course, the pilot must fly a compass heading of:",052°,058°,040°,044°,A
Flight Planning,2115,"Given: True course (TC) 017°, W/V 340°/30 kt, True air speed (TAS) 420 ktFind: Wind correction angle (WCA) and ground speed (GS)","WCA -2°, GS 396 kt","WCA +2°, GS 396 kt","WCA -2°, GS 426 kt","WCA +2°, GS 416 kt",A
Flight Planning,2116,You are to determine the maximum fuel load which can be carried in the following conditions :- dry operating mass : 2800 kg- trip fuel : 300 kg- payload : 400 kg- maximum take-off mass : 4200 kg- maximum landing mass : 3700 kg,800 kg,1000 kg,700 kg,500 kg,A
Flight Planning,2117,"The fuel burn off is 200 kg/h with a relative fuel density of 0,8. If the relative density is 0,75, the fuel burn will be:",200 kg/h,213 kg/h,188 kg/h,267 kg/h,A
Flight Planning,2118,(For this question use annex 033-3301A or Flight Planning Manual MEP1 Figure 3.1)A flight is to be made from one airport (elevation 3000 ft) to another in a multi engine piston aireroplane (MEP1). The cruising level will be FL 110. The temperature at FL 110 is ISA - 10° C. The temperature at the departure aerodrome is -1° C. Calculate the fuel to climb with mixture rich.,6 US gallon,9 US gallon,12 US gallon,3 US gallon,A
Flight Planning,2119,"(For this question use annex 033-3302A or Flight Planning Manual MEP1 Figure 3.6)A flight is to be made to an airport, pressure altitude 3000 ft, in a multi engine piston aireroplane (MEP1). The forecast OAT for the airport is -1° C. The cruising level will be FL 110, where OAT is -10° C.Calculate the still air descent distance for:145 KIASRate of descent 1000 ft/minGears and flaps up",20 NM,29 NM,36 NM,25 NM,A
Flight Planning,2120,(For this question use annex 033-4736A or Flight Planning Manual SEP 1 Table 2.2.3)Given:FL 75OAT +10°CLean mixture2300 RPMFind:Fuel flow in gallons per hour (GPH) and TAS.,11.6 GPHTAS: 160 kt,11.6 GPHTAS: 143 kt,,,A
Flight Planning,2121,(For this question use annex 033-4737A or Flight Planning Manual SEP 1 Figure 2.1)Given:FL 75OAT: +5°CDuring climb: average head wind component 20 ktTake- off from MSL with the initial mass of 3 650 lbs.Find:Time and fuel to climb.,"9 min.3,3 USG","10 min.3,6 USG","7 min.2,6 USG","9 min.2,7 USG",A
Flight Planning,2122,"(For this question use annex 033-4738A or Flight Planning Manual SEP 1 Figure 2.1)Given:FL 75OAT: +5°CDuring climb: average head wind component 20 ktTake- off from MSL with the initial mass of 3 650 lbs.Find:Still air distance (NAM) and ground distance (NM) using the graph """"time, fuel, distance to climb"""".",18 NAM.15 NM.,16 NAM.18 NM.,18 NAM.13 NM.,14 NAM.18 NM.,A
Flight Planning,2123,"(For this question use annex 033-11704A)True Air speed: 170 ktWind in the area: 270°/40 ktAccording to the attached the navigation log, an aircraft performs a turn overhead BULEN to re-route to ARD via TGJ.The given wind conditions remaining constant.The fuel consumption during the turn is 20 litres.The total fuel consumption at position overhead ARD will be:",1 545 litres,1 182 litres,1 326 litres,1 600 litres,A
Flight Planning,2124,"In the cruise at FL 155 at 260 kt TAS, the pilot plans for a 500 feet/min descent in order to fly overhead MAN VOR at 2 000 feet (QNH 1030). TAS will remain constant during descent, wind is negligible, temperature is standard.The pilot must start the descent at a distance from MAN of:",120 NM,140 NM,110 NM,130 NM,A
Flight Planning,2125,"An aircraft is in cruising flight at FL 095, IAS 155kt. The pilot intends to descend at 500 ft/min to arrive overhead the MAN VOR at 2 000 FT (QNH 1 030hPa). The TAS remains constant in the descent, wind is negligeable, temperature standard. At which distance from MAN should the pilot commence the descent?",48 NM,42 NM,40 NM,45 NM,A
Flight Planning,2126,"(For this question use annex 033-9715A or Flight Planning Manual SEP 1 Figure 2.1)Given: Take-off mass 3500 lbs, departure aerodrome pressure altitude 2500 ft, OAT +10°C, First cruising level: FL 140, OAT -5°CFind the time, fuel and still air distance to climb.","22 min, 6.7 GAL, 45 NAM","24 min, 7.7 GAL, 47 NAM","16.5 min, 4.9 GAL, 34.5 NAM","23 min, 7.7 GAL, 50 NAM",A
Flight Planning,2127,"(For this question use annex 033-9716A or Flight Planning Manual SEP 1 Figure 2.4)Given: Aeroplane mass at start-up 3663 lbs, Aviation gasoline (density 6 lbs/gal)-fuel load 74 gal, Take-off altitude sea level, Headwind 40 kt, Cruising altitude 8000 ft, Power setting full throttle 2300 RPM 20°C lean of peak EGTCalculate the range.",633 NM,844 NM,730 NM,547.5 NM,A
Flight Planning,2128,(For this question use annexes 033-12302A and 033-12302B or Flight Planning Manual MRJT 1 Figure 4.5.2 and 4.5.3.1)Given : Distance C - D : 3200 NM Long Range Cruise at FL 340 Temperature Deviation from ISA : +12°C Tailwind component : 50 kt Gross mass at C : 55 000 kgThe fuel required from C - D is :,14 500 kg,14 200 kg,17 800 kg,17 500 kg,A
Flight Planning,2129,(For this question use annexes 033-12303A and 033-12303B or Flight Planning Manual MRJT 1 Figure 4.5.2 and 4.5.3.1))Given : Distance C - D : 680NM Long Range Cruise at FL340 Temperature Deviation from ISA : 0° C Headwind component : 60 kt Gross mass at C : 44 700 kgThe fuel required from C - D is :,3700 kg,3400 kg,3100 kg,4000 kg,A
Flight Planning,2130,(For this question use annex 033-12304A or Flight Planning Manual MRJT 1 Figure 4.5.1)Given : Brake release mass : 58 000 kg Temperature : ISA + 15The fuel required to climb from an aerodrome at elevation 4000 ft to FL300 is :,1250 kg,1400 kg,1450 kg,1350 kg,A
Flight Planning,2131,(For this question use annex 033-12339A or Flight Planning Manual MRJT 1 Figure 4.3.1C) For a flight of 2800 ground nautical miles the following apply :Head wind component 15 ktTemperature ISA + 15°CCruise altitude 35000 ftLanding mass 50000 kgThe (a) trip fuel and (b) trip time respectively are :,(a) 17600 kg (b) 6 hr 50 min,(a) 16200 kg (b) 6 hr 20 min,(a) 17000 kg (b) 6 hr 10 min,(a) 20000 kg (b) 7hr 00 min,A
Flight Planning,2132,"(For this question use annex 033-12340A or Flight Planning Manual MRJT 1 Figure 4.3.5)For a flight of 2800 ground nautical miles the following apply :Head wind component 20 ktTemperature ISA + 15°CBrake release mass 64700 kgThe (a) trip fuel, and (b) trip time respectively are :",(a) 17000 kg(b) 6hr 45 min,(a) 15800 kg(b) 6hr 15 min,(a) 16200 kg(b) 6hr 20 min,(a) 18400 kg(b) 7hr 00 min,A
Flight Planning,2133,(For this question use annex 033-12341A or Flight Planning Manual MRJT 1 Figure 4.3.1C)For a flight of 1900 ground nautical miles the following apply :Head wind component 10 ktTemperature ISA -5°CTrip fuel available 15000 kgLanding mass 50000kgWhat is the minimum cruise level (pressure altitude) which may be planned ?,17000 ft,22000 ft,14000 ft,10000 ft,A
Flight Planning,2134,(For this question use annex.033-12342A or Flight Planning Manual MRJT 1 Figure 4.3.5) Given the following :Head wind component 50 ktTemperature ISA + 10°CBrake release mass 65000kgTrip fuel available 18000kgWhat is the maximum possible trip distance ?,2740 NM,3100 NM,3480 NM,2540 NM,A
Flight Planning,2135,"(For this question use annex 033-12343A or Flight Planning Manual MRJT 1 Figure 4.3.1C)Within the limits of the data given, a mean temperature increase of 30°C will affect the trip time by approximately :",-5%,5%,8%,-7%,A
Flight Planning,2136,(For this question use annex 033-12305A or Flight Planning Manual MRJT 1 Figure 4.5.1)Given : Brake release mass : 62 000 kg Temperature : ISA + 15°CThe fuel required for a climb from Sea Level to FL330 is :,1700 kg,1650 kg,1750 kg,1800 kg,A
Flight Planning,2137,(For this question use annexes 033-12306A and 033-12306B or Flight Planning Manual MRJT 1 Figure 4.5.2 and 4.5.3.3)Given : Distance B - C : Cruise Mach 0.78 at FL300 Temperature : - 52°C Headwind component : 50 kt Gross mass at B : 64 500 kgThe fuel required from B - C is :,20 500 kg,20 800 kg,17 100 kg,16 800 kg,A
Flight Planning,2138,(For this question use annexes 033-12307A and 033-12307B or Flight Planning Manual MRJT 1 Figure 4.5.2 and 4.5.3.3)Given : Distance B - C : 1200 NM Cruise Mach 0.78 at FL300 Temperature Deviation from ISA : -14°C Tailwind component : 40 kt Gross mass at B : 50 200 kgThe fuel required from B - C is :,6150 kg,5850 kg,7300 kg,7050 kg,A
Flight Planning,2139,(For this question use annexes 033-12308A and 033-12308B or Flight Planning Manual MRJT 1 Figure 4.5.2 and 4.5.3.4)Given : Distance C - D : 540 NM Cruise 300 KIAS at FL 210 Temperature Deviation from ISA : +20°C Headwind component : 50 kt Gross mass at C : 60 000 kgThe fuel required from C to D is :,4620 kg,4200 kg,3350 kg,3680 kg,A
Flight Planning,2140,(For this question use annexes 033-12309A and 033-12309B or Flight Planning Manual MRJT 1 Figure 4.5.2 and 4.5.3.4)Given : Distance B - C : 350 NM Cruise 300 KIAS at FL 210 Temperature : - 40°C Tailwind component : 70 kt Gross mass at B : 53 200 kgThe fuel required from B - C is :,1810 kg,1940 kg,2800 kg,2670 kg,A
Flight Planning,2141,"(For this question use annex 033-12344A or Flight Planning Manual MRJT 1 Figure 4.3.1C) For a flight of 2000 ground nautical miles, cruising at 30000 ft, within the limits of the data given, a headwind component of 25 kt will affect the trip time by approximately :",+7.6%,+5.3%,+2.3%,-3.6%,A
Flight Planning,2142,"(For this question use annex 033-12345A or Flight Planning Manual MRJT 1 Figure 4.3.5)Given a trip time of about 9 hours, within the limits of the data given, a temperature decrease of 30°C will affect the trip time by approximately :",7%,3%,-4%,-10%,A
Flight Planning,2143,(For the question use annex 033-12346A or Flight Planning Manual MRJT 1 Figure 4.3.1C)For a flight of 2800 ground nautical miles the following apply :Tail wind component 45ktTemperature ISA - 10°CCruise altitude 29000ftLanding mass 55000kgThe (a) trip fuel (b) trip time respectively are :,(a) 17100kg(b) 6hr 07 min,(a) 18000kg(b)5hr 50 min,(a) 20000kg(b) 6hr 40 min,(a) 16000kg(b) 6hr 25 min,A
Flight Planning,2144,"(For this question use annex 033-12347A or Flight Planning Manual MRJT 1 Figure 4.3.5)For a flight of 3500 ground nautical miles, the following apply :Tail wind component 50 ktTemperature ISA +10°CBrake release mass 65000kgThe (a) trip fuel and (b) trip time respectively are :",(a) 18100 kg(b) 7hr 20 min,(a) 15800 kg(b) 6hr 00 min,(a) 21800 kg(b) 9hr 25 min,(a) 19000 kg(b) 7hr 45min,A
Flight Planning,2145,(For this question use annex 033-12348A or Flight Planning Manual MRJT 1 Figure 4.3.5) The following apply:Temperature ISA +15°CBrake release mass 62000kgTrip time 5hr 20 minWhat is the trip fuel ?,13500kg,13000kg,13200kg,13800kg,A
Flight Planning,2146,(For this question use annex 033-12349A or Flight Planning Manual MRJT 1 Figure 4.3.1C) For a flight of 2400 ground nautical miles the following apply :Temperature ISA -10°CCruise altitude 29000ftLanding mass 45000kgTrip fuel available 16000kgWhat is the maximum headwind component which may be accepted ?,35 kt,15kt,70kt,0,A
Flight Planning,2147,(For this question use annex 033-12350A or Flight Planning Manual MRJT 1 Figure 4.3.5) The following apply :Tail wind component 10ktTemperature ISA +10°CBrake release mass 63000kgTrip fuel available 20000kgWhat is the maximum possible trip distance ?,3740 NM,3640 NM,3500 NM,3250 NM,A
Flight Planning,2148,(For this question use annex 033-12351A or Flight Planning Manual MRJT 1 Figure 4.3.5) For a flight of 2400 ground nautical miles the following apply :Tail wind 25ktTemperature ISA - 10°CBrake release mass 66000kgThe (a) trip fuel and (b) trip time respectively are :,(a) 14000kg(b) 5hr 35 min,(a) 15800kg(b)6hr 20 min,(a) 14600kg(b) 5hr 45 min,(a) 15000kg(b) 6hr 00 min,A
Flight Planning,2149,(For this question use annex 033-12352A or Flight Planning Manual MRJT 1 Figure 4.3.1C) For a flight of 2400 ground nautical miles the following apply :Tail wind component 25 ktTemperature ISA -10°CCruise altitude 31000ftLanding mass 52000kgThe (a) trip fuel and (b) trip time respectively are :,(a) 14200kg(b) 5 hr 30 min,(a) 16200kg(b) 5 hr 45 min,(a) 13600kg(b) 6 hr 30 min,(a) 12000kg(b) 5 hr 15 min,A
Flight Planning,2150,Given:Dry operating mass (DOM)= 33510 kgLoad= 7600 kgFinal reserve fuel= 983 kgAlternate fuel= 1100 kgContingency fuel 102 kgThe estimated landing mass at alternate should be :,42195 kg.,42093 kg.,42210 kg.,42312 kg.,A
Flight Planning,2151,Given:Dry operating mass (DOM)= 33000 kgLoad= 8110 kgFinal reserve fuel= 983 kgAlternate fuel= 1100 kgContingency fuel 102 kgThe estimated landing mass at alternate should be :,42195 kg.,41110 kg.,42210 kg.,42312 kg.,A
Flight Planning,2152,Given:Dry operating mass (DOM)= 33510 kgLoad= 7600 kgTrip fuel (TF)= 2040 kgFinal reserve fuel= 983 kgAlternate fuel= 1100 kgContingency fuel= 5% of trip fuelWhich of the listed estimated masses is correct?,Estimated landing mass at destination= 43295 kg.,Estimated take-off mass= 45233 kg.,Estimated landing mass at destination= 43193 kg.,Estimated take-off mass= 43295 kg.,A
Flight Planning,2153,"(For this question use annex 033-12310A or Flight Planning Manual MRJT 1 Figure 4.4)- HOLDING PLANNING The fuel required for 30 minutes holding, in a racetrack pattern, at PA 1500 ft, mean gross mass 45 000 kg, is :",1090 kg,1010 kg,1310 kg,2180 kg,A
Flight Planning,2154,"(For this question use annex 033-12311A or Flight Planning Manual MRJT 1 Figure 4.4)- HOLDING PLANNING)The fuel required for 45 minutes holding, in a racetrack pattern,at PA 5000 ft, mean gross mass 47 000 kg, is :",1635 kg,1090 kg,1690 kg,1125 kg,A
Flight Planning,2155,(For this question use annex 033-12312A or Flight Planning Manual MRJT 1 Figure 4.3.6)Given: Distance to Alternate 450 NM Landing mass at Alternate : 45 000 kg Tailwind component : 50 ktThe Alternate fuel required is :,2500 kg,2750 kg,3050 kg,2900 kg,A
Flight Planning,2156,(For this question use annex 033-12313A or Flight Planning Manual MRJT 1 Figure 4.3.6)Given : Distance to Alternate : 400 NM Landing mass at Alternate : 50 000kg Headwind component : 25 ktThe alternate fuel required is :,2800 kg,2550 kg,2900 kg,2650 kg,A
Flight Planning,2157,"A public transport aeroplane with reciprocating engines,is flying from PARlS to LYON. The final reserve corresponds to:",45 minutes at holding speed,2 hours at cruise consumption,1 hour at holding speed,30 minutes at holding speed,A
Flight Planning,2158,"In a flight plan when the destination aerodrome is A and the alternate aerodrome is B, the final reserve fuel for a turbojet engine aeroplane corresponds to:","30 minutes holding 1,500 feet above aerodrome B","30 minutes holding 2,000 feet above aerodrome B","15 minutes holding 2,000 feet above aerodrome A","30 minutes holding 1,500 feeI above aerodrome A",A
Flight Planning,2159,"Following in-flight depressurisation, a turbine powered aeroplane is forced to divert to an en-route alternate airfield. If actual flight conditions are as forecast, the minimum quantity of fuel remaining on arrival at the airfield will be:",at least equivalent to 30 minutes flying time,at least equivalent to the quantity required to fly to another aerodrome in the event that weather conditions so require,"laid down by the operator, with the quantity being specified in the operating manual",at least equivalent to 45 minutes flying time,A
Flight Planning,2160,The Trip Fuel for a jet aeroplane to fly from the departure aerodrome to the destination aerodrome is 5 350 kg. Fuel consumption in holding mode is 6 000 kg/ h. The quantity of fuel which is needed to carry out one go-around and land on the alternate airfield is 4 380 kg. The destination aerodrome has a single runway.What is the minimum quantity of fuel which should be on board at take-off?,13 000 kg,13 050 kg,12 700 kg,10 000 kg,A
Flight Planning,2161,"For turbojet engine driven aeroplane, given:Taxi fuel 600 kgFuel flow for cruise 10 000 kg/hFuel flow for holding 8 000 kg/hAlternate fuel 10 200 kgPlanned flight time to destination 6 hForecast visibility at destination 2000 mThe minimum ramp fuel required is:",77 800 kg,76 100 kg,80 500 kg,79 200 kg,A
Flight Planning,2162,"(For this question use annex 033-4622A or Flight Planning Manual MEP 1 Figure 3.3)A flight has to be made with a multi engine piston aeroplane (MEP 1). For the fuel calculations take 5 US gallons for the taxi, and an additional 13 minutes at cruise condition to account for climb and descent. Calculated time from overhead to overhead is 1h47min. Powersetting is 45%, 2600 RPM. Calculated reserve fuel is 30% of the trip fuel. FL 100. Temperature -5°C. Find the minimum block fuel.",47 US gallons.,37 US gallons.,60 US gallons.,470 US gallons.,A
Flight Planning,2163,"(For this question use annex 033-4623A or Flight Planning Manual MEP 1 Figure 3.3)A flight has to be made with a multi engine piston aeroplane (MEP 1). For the fuel calculations take 5 US gallons for the taxi, and an additional 13 minutes at cruise condition to account for climb and descent. Calculated time overhead to overhead is 2h37min. Powersetting is 65%, 2500 RPM. Calculated reserve fuel is 30% of the trip fuel. FL 120. Temperature 1°C. Find the minimum block fuel.",91 US gallons.,86 US gallons.,76 US gallons.,118 US gallons.,A
Flight Planning,2164,"(For this question use annex 033-11272A)The flight crew of a turbojet aeroplane prepares a flight using the following data:. Take-off mass: 168 500 kg. Flight leg ground distance: 2 000 NM. Flight level FL 370, """"Long Range"""" flight regime . Tailwind component at this level: 30 kt. Total anti-ice set on """"ON"""". Fixed taxi fuel: 500 kg, final reserve: 2 000 kg. Ignore alternate fuel.The effects of climb and descent are not corrected for consumption.The prescribed quantity of trip fuel for the flight leg is:",20 500 kg,23 000 kg,22 500 kg,23 300 kg,A
Flight Planning,2165,Given:maximum allowable take-off mass 64 400 kg maximum landing mass 56 200 kg maximum zero fuel mass 53 000 kg dry operating mass 35 500 kg estimated load 14 500 kg estimated trip fuel 4 900kg minimum take-off fuel 7 400 kgFind the maximum allowable take-off fuel:,11 100 kg,11 400 kg,14 400 kg,8 600 kg,A
Flight Planning,2166,"The fuel burn of an aircraft turbine engine is 220 l/h with a fuel density of 0,80. If the density is 0,75, the fuel burn will be:",235 l/h,206 l/h,220 l/h,176 l/h,A
Flight Planning,2167,"During an IFR flight in a Beech Bonanza the fuel indicators show that the remaining amount of fuel is 100 lbs after 38 minutes. The total amount of fuel at departure was 160 lbs. For the alternate fuel, 30 lbs is necessary. The planned fuel for taxi is 13 lbs. Final reserve fuel is estimated at 50 lbs. If the fuel flow remains the same, how many minutes can be flown to the destination with the remaining fuel?",12 minutes.,63 minutes.,44 minutes.,4 minutes.,A
Flight Planning,2168,"For a planned flight the calculated fuel is as follows:Flight time: 3h06minThe reserve fuel, at any time, should not be less than 30% of the remaining trip fuel.Taxi fuel: 8 kgBlock fuel: 118 kgHow much fuel should remain after 2 hours flight time?",30 kg trip fuel and 9 kg reserve fuel.,39 kg trip fuel and 12 kg reserve fuel.,27 kg trip fuel and 12 kg reserve fuel.,39 kg trip fuel and no reserve fuel.,A
Flight Planning,2169,"For a planned flight the calculated fuel is as follows:Flight time: 2h42minThe reserve fuel, at any time, should not be less than 30% of the remaining trip fuel.Taxi fuel: 9 kgBlock fuel: 136 kgHow much fuel should remain after 2 hours flight time?",25 kg trip fuel and 8 kg reserve fuel.,33 kg trip fuel and 10 kg reserve fuel.,23 kg trip fuel and 10 kg reserve fuel.,33 kg trip fuel and no reserve fuel.,A
Flight Planning,2170,A VFR flight planned for a Piper Seneca III. At a navigational checkpoint the remaining usable fuel in tanks is 60 US gallons. The alternate fuel is 12 US gallons. According to the flight plan the remaining flight time is 1h35min. Calculate the highest rate of consumption possible for the rest of the trip.,30.3 US gallons/hour,,,,A
Flight Planning,2171,"A multi engine piston aeroplane is on an IFR flight. The fuel plan gives a trip fuel of 65 US gallons. The alternate fuel, final reserve included, is 17 US gallons. Contingency fuel is 5% of the trip fuel. The usable fuel at departure is 93 US gallons. At a certain moment the fuel consumed according to the fuel gauges is 40 US gallons and the distance flown is half of the total distance. Assume that fuel consumption doesn't change. Which statement is right ?",The remaining fuel is not sufficient to reach the destination with reserves intact,At the destination there will still be 30 US gallons in the tanks,At departure the reserve fuel was 28 US gallons,At destination the required reserves remain intact.,A
Flight Planning,2172,Minimum planned take-off fuel is 160 kg (30% total reserve fuel is included). Assume the groundspeed on this trip is constant. When the aeroplane has done half the distance the remaining fuel is 70 kg. Is diversion to a nearby alternate necessary?,"Diversion to a nearby alternate is necessary, because the remaining fuel is not sufficient.","Diversion to a nearby alternate is not necessary, because the reserve fuel has not been used completely.","Diversion to a nearby alternate is not necessary, because it is allowed to calculate without reserve fuel.","Diversion to a nearby alternate is necessary, unless the captain decides to continue on his own responsability.",A
Flight Planning,2173,"After flying for 16 min at 100 kt TAS with a 20 kt tail wind component, you have to return to the airfield of departure. You will arrive after:",24 min,20 min,10 min 40 sec,16 min,A
Flight Planning,2174,During a flight at night a position has to be reported to ATC. The aeroplane is at a distance of 750 NM from the groundstation and at flight level 350. The frequency to be used is:,5649 kHz.,11336 kHz.,17286 kHz.,123.9 MHz.,A
