chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Principles of Flight,5292,"""""A line connecting the leading- and trailing edge midway between the upper and lower surface of a aerofoil"""". This definition is applicable for :",the camber line,the chord line,the mean aerodynamic chord line,the upper camber line,A,The camber line (or mean camber line) is the line connecting the leading and trailing edges that is equidistant from the upper and lower surfaces of the aerofoil at every point.
Principles of Flight,5293,The angle of attack of a wing profile is defined as the angle between :,The undisturbed airflow and the chordline.,The local airflow and the mean camberline.,The local airflow and the chordline.,The undisturbed airflow and the mean camberline.,A,The angle of attack is the angle between the chord line of the wing profile and the direction of the undisturbed relative airflow.
Principles of Flight,5294,The Mean Aerodynamic Chord (MAC) for a given wing of any planform is,the chord of a rectangular wing with same moment and lift,the chord of a large rectangular wing,the average chord of the actual aeroplane,the wing area divided by the wing span,A,"The Mean Aerodynamic Chord (MAC) is the chord of an equivalent rectangular wing that has the same lift, drag, and pitching moment characteristics as the actual wing planform."
Principles of Flight,5295,The aspect ratio of the wing:,is the ratio between the wing span and the mean geometric chord.,is the ratio between the wing span and the root chord.,is the ratio between the tip chord and the wing span.,is the ratio between chord and root chord.,A,"The aspect ratio (AR) of a wing is defined as the ratio of the wing span squared to the wing area, which is equivalent to the ratio of the wing span to the mean geometric chord (AR = b / c)."
Principles of Flight,5296,Dihedral of the wing is:,the angle between the 0.25 chord line of the wing and the lateral axis.,the angle between the leading edge of the wing and the lateral axis.,the angle between the 0.25 chord line of the wing and the vertical axis.,the angle between the 0.25 chord line of the wing and the horizon.,A,"Dihedral is the upward angle of the wings relative to the lateral axis of the aircraft, which helps provide lateral stability during sideslips."
Principles of Flight,5297,(For this question use annex 081-6253A)How are the speeds (shown in the figure) at point 1 and point 2 related to the relative wind/airflow V?,V1 = 0 and V2 > V,V1 < V2 and V2 < V,V1 = 0 and V2 = V,V1 > V2 and V2 < V,A,Point 1 represents the stagnation point at the leading edge where the airflow comes to a complete stop (V1 = 0). Point 2 is on the upper surface where the airflow accelerates to a speed greater than the free-stream velocity (V2 > V).
Principles of Flight,5298,Consider an aerofoil with a certain camber and a positive angle of attack. At which location will the highest flow velocities occur ?,Upper side,Lower side,In front of the stagnation point,In the stagnation point,A,"Due to the camber and positive angle of attack, the streamlines are squeezed most tightly over the upper side of the wing. This reduction in area causes the highest flow velocities to occur on the upper side."
Principles of Flight,5299,"With increasing angle of attack, the stagnation point will move (I) ...and the point of lowest pressure will move (II) ...Respectively (I) and (II) are:","(I) down, (II) forward.","(I) up, (II) aft.","(I) down, (II) aft.","(I) up, (II) forward.",A,"As the angle of attack of an aerofoil increases, the stagnation point moves downwards and slightly aft along the lower leading edge (down), while the point of lowest static pressure moves forward along the upper surface."
Principles of Flight,5300,Which statement is correct?,"As the angle of attack increases, the stagnation point on the wing's profile moves downwards.",The centre of pressure is the point on the wing's leading edge where the airflow splits up.,The stagnation point is another name for centre of pressure.,"The stagnation point is always situated on the chordline, the centre of pressure is not.",A,An increase in the angle of attack causes the stagnation point (where the airflow splits at the leading edge) to shift downwards and aft along the lower surface of the wing profile.
Principles of Flight,5301,"The point, where the aerodynamic lift acts on a wing is:",the centre of pressure.,the c.g. location.,the point of maximum thickness of the wing.,the suction point of the wing.,A,The center of pressure (CP) is the point on the wing chord line where the total lift and drag forces (the resultant aerodynamic force) are considered to act.
Principles of Flight,5302,The location of the centre of pressure of a positive cambered wing at increasing angle of attack will:,shift forward.,not shift.,shift aft.,shift in spanwise direction.,A,"For a positively cambered aerofoil, as the angle of attack increases towards the stall, the pressure distribution shifts forward, causing the center of pressure (CP) to shift forward along the chord line."
Principles of Flight,5303,Lift is generated when:,a certain mass of air is accelerated downwards.,the shape of the aerofoil is slightly cambered.,an aerofoil is placed in a high velocity air stream.,a certain mass of air is retarded.,A,"Aerodynamic lift is generated in accordance with Newton's third law of motion: the wing profile deflects and accelerates a mass of air downwards, producing an equal and opposite upward force."
Principles of Flight,5304,"The lift force, acting on an aerofoil :",is mainly caused by suction on the upperside of the aerofoil.,"increases, proportional to the angle of attack until 40 degrees.",is mainly caused by overpressure at the underside of the aerofoil.,is maximum at an angle of attack of 2 degrees.,A,"In subsonic flight, lift is primarily generated by the low pressure (suction) created over the upper surface of the wing relative to the ambient pressure, rather than the positive pressure underneath."
Principles of Flight,5305,"On an asymmetrical, single curve aerofoil, in subsonic airflow, at low angle of attack, when the angle of attack is increased, the centre of pressure will (assume a conventional transport aeroplane) :",move forward.,move aft.,remain matching the airfoil aerodynamic centre.,remain unaffected.,A,"For a conventional cambered wing, as the angle of attack is increased from a low angle, the center of pressure moves forward along the chord line due to the shifting pressure distribution."
Principles of Flight,5306,The Cl - alpha curve of a positive cambered aerofoil intersects with the vertical axis of the Cl - alpha graph:,above the origin.,in the origin.,below the origin.,nowhere.,A,"A positively cambered wing generates a positive lift coefficient (Cl > 0) even at a zero angle of attack. Therefore, its Cl-alpha curve intersects the vertical lift axis above the origin."
Principles of Flight,5307,The lift formula is:,L= CL 1/2 RHO V² S,L= W,L= CL 2 RHO V² S,L= n W,A,"The aerodynamic lift (L) is calculated using the formula: Lift = CL * 0.5 * rho * V^2 * S, where CL is the lift coefficient, rho is the air density, V is the true airspeed, and S is the wing surface area."
Principles of Flight,5308,"The terms """"q"""" and """"S"""" in the lift formula are:",dynamic pressure and the area of the wing,square root of surface and wing loading,static pressure and wing surface area,static pressure and dynamic pressure,A,"In the lift formula (L = CL * q * S), 'q' represents the dynamic pressure (0.5 * rho * V^2) and 'S' represents the total planform area of the wing."
Principles of Flight,5309,The critical angle of attack:,remains unchanged regardless of gross weight,increases if the CG is moved forward,decreases if the CG is moved aft,changes with an increase in gross weight,A,"The critical angle of attack (stalling angle) is determined solely by the aerodynamic shape of the wing profile (camber, thickness, leading edge radius) and remains unchanged regardless of the aircraft's weight."
Principles of Flight,5310,"An aeroplane performs a straight and level horizontal flight at the same angle of attack at two different altitudes. (all other factors of importance being constant, assume ISA conditions and no compressibility effects)",the TAS at the higher altitude is higher,the TAS at both altitudes is the same,the TAS at the higher altitude cannot be determined,the TAS at the higher altitude is lower,A,"To generate the same lift to balance the weight at the same angle of attack, the dynamic pressure (0.5 * rho * V^2) must remain constant. Since air density decreases with altitude, the True Airspeed (TAS) must increase at the higher altitude."
Principles of Flight,5311,(For this question use annex 081-6261A)Which point shown in the figure corresponds with CL for minimum horizontal flight speed?,Point d,Point a,Point b,Point c,A,"Point d on the aerofoil polar diagram corresponds to the maximum lift coefficient (CLmax), which represents the stalling angle and the minimum speed possible in steady horizontal flight."
Principles of Flight,5312,"The aerodynamic drag of a body, placed in a certain airstream depends amongst others on:",The airstream velocity.,The specific mass of the body.,The weight of the body.,The c.g. location of the body.,A,"The aerodynamic drag force depends on the dynamic pressure, the body's frontal area, and its drag coefficient. Since dynamic pressure is a function of velocity, the drag depends directly on the velocity of the airstream."
Principles of Flight,5313,A body is placed in a certain airstream. The airstream velocity increases by a factor 4. The aerodynamic drag will increase with a factor :,16 .,4 .,8 .,12 .,A,"Aerodynamic drag is proportional to the square of the airspeed (V^2). If the velocity of the airstream increases by a factor of 4, the drag increases by a factor of 4 squared, which is 16."
Principles of Flight,5314,A body is placed in a certain airstream. The density of the airstream decreases to half of the original value. The aerodynamic drag will decrease with a factor :,2 .,4 .,8 .,1.4 .,A,"Aerodynamic drag is directly proportional to the density of the air (rho). Therefore, if the density decreases to half (1/2) of its original value, the drag will also decrease to half (by a factor of 2)."
Principles of Flight,5315,Comparing the lift coefficient and drag coefficient at normal angle of attack:,CL is much greater than CD,CL has approximately the same value as CD,CL is lower than CD,CL is much lower than CD,A,"At normal cruise angles of attack, a wing is highly efficient, meaning the lift coefficient (CL) is much greater than the drag coefficient (CD). The lift-to-drag ratio is typically 15:1 to 20:1."
Principles of Flight,5316,The polar curve of an aerofoil is a graphic relation between :,CL and CD,TAS and stall speed,Angle of attack and CL,CD and angle of attack,A,The polar curve of an aerofoil is a graph that plots the lift coefficient (CL) against the drag coefficient (CD) for different angles of attack.
Principles of Flight,5317,"The lift- and drag forces, acting on a wing cross section:",depend on the pressure distribution about the wing cross section.,are normal to each other at just one angle of attack.,"are proportional to each other, independent of angle of attack.",vary linearly with the angle of attack.,A,Both lift and drag forces are determined by integrating the static pressure distribution and shear stress distribution over the entire surface area of the wing cross section.
Principles of Flight,5318,The aerofoil polar is:,a graph of the relation between the lift coefficient and the drag coefficient.,a graph of the relation between the lift coefficient and the angle of attack.,the relation between the horizontal and the vertical speed.,"a graph, in which the thickness of the wing aerofoil is given as a function of the chord.",A,An aerofoil polar is a graphical representation that plots the lift coefficient (CL) on the vertical axis against the drag coefficient (CD) on the horizontal axis.
Principles of Flight,5319,"The frontal area of a body, placed in a certain airstream is increased by a factor 3. The shape will not alter. The aerodynamic drag will increase with a factor :",3 .,9 .,6 .,1.5 .,A,"Aerodynamic drag is directly proportional to the frontal surface area (S) of a body. If the frontal area increases by a factor of 3 while the shape remains unchanged, the drag will increase by a factor of 3."
Principles of Flight,5320,Increasing dynamic (kinetic) pressure will have the following effect on the drag of an aeroplane (all other factors of importance remaining constant) :,The drag increases.,This has no effect.,The drag decreases.,The drag is only affected by the ground speed.,A,"Aerodynamic drag is directly proportional to the dynamic pressure (q = 0.5 * rho * V^2). If the dynamic pressure increases, the drag acting on the aircraft increases proportionally."
Principles of Flight,5321,"Increasing air pressure will have the following effect on the drag of an aeroplane (angle of attack, OAT and TAS are constant):",The drag increases.,This has no effect.,The drag decreases.,The drag is only affected by the ground speed.,A,"At constant temperature and airspeed, an increase in air pressure increases the air density. Since drag is directly proportional to air density, the aerodynamic drag increases."
Principles of Flight,5322,Which statement is correct? The lift to drag ratio provides directly the,glide distance from a given altitude at zero wind.,glide distance from a given altitude.,distance for horizontal flight.,distance for climb up to a certain altitude.,A,"In a power-off glide, the lift-to-drag (L/D) ratio corresponds to the glide ratio. In zero wind conditions, this ratio directly determines the horizontal distance the aircraft can glide from a given altitude."
Principles of Flight,5323,The span-wise flow is caused by the difference between the air pressure on top and beneath the wing and its direction of movement goes from :,beneath to the top of the wing via the wing tip,the top to beneath the wing via the wing's trailing edge,beneath to the top of the wing via the trailing edge,the top to beneath the wing via the leading edge,A,"Because the air pressure is higher on the lower surface of the wing than on the upper surface, the air rolls around the wing tips from the bottom to the top, creating a spanwise flow outward on the bottom and inward on the top."
Principles of Flight,5324,Which statement about induced drag and tip vortices is correct?,"The flow direction at the upper side of the wing has a component in wing root direction, the flow at the underside of the wing in wing tip direction.",Tip vortices can be diminished by vortex generators.,"The flow direction at the upper and under side of the wing, both deviate in wing tip direction.",The wing tip vortices and the induced drag decrease at increasing angle of attack.,A,"The pressure differential between the upper and lower surfaces causes air to flow outward (towards the wing tips) on the lower surface, and inward (towards the wing root) on the upper surface, contributing to tip vortices."
Principles of Flight,5325,Which of the following wing planforms gives the highest local profile lift coefficient at the wingroot ?,Rectangular.,Elliptical.,Tapered.,Positive angle of sweep.,A,"A rectangular wing has a constant chord and no taper, meaning the wing root operates at a higher local lift coefficient relative to the wing tips compared to tapered or swept wings, which promotes stalling at the wing root first."
Principles of Flight,5326,"If flaps are deployed at constant IAS in straight and level flight, the magnitude of tip vortices will eventually : (flap span less than wing span)",decrease.,increase.,remain the same.,"increase or decrease, depending on the initial angle of attack.",A,"Deploying flaps increases the lift coefficient of the inboard section of the wing. To maintain straight and level flight at a constant IAS, the overall angle of attack must be reduced, which reduces the lift required from the wing tips and decreases the strength of the tip vortices."
Principles of Flight,5327,The value of the induced drag of an aeroplane in straight and level flight at constant weight varies linearly with:,1/V²,V²,V,1/V,A,"In level flight, induced drag is inversely proportional to the square of the airspeed (1/V^2) because a lower speed requires a higher angle of attack to generate the same lift."
Principles of Flight,5328,Induced drag at constant IAS is affected by:,aeroplane weight.,aeroplane wing location.,angle between wing chord and fuselage centre line.,engine thrust.,A,"Induced drag is a direct consequence of generating lift. In straight and level flight, the lift must equal the aircraft's weight; therefore, the induced drag at a constant IAS is primarily affected by the aircraft's weight."
Principles of Flight,5329,Which of the following will reduce induced drag?,Elliptical lift distribution.,Low aspect ratio.,Flying at high angles of attack.,Extending the flaps.,A,"An elliptical lift distribution minimizes the downwash variation along the span, which minimizes the induced drag for a given wing span and lift."
Principles of Flight,5330,Induced drag is created by the:,spanwise flow pattern resulting in the tip vortices.,interference of the air stream between wing and fuselage.,separation of the boundary layer over the wing.,propeller wash blowing across the wing.,A,"Induced drag is created by the pressure difference between the upper and lower wing surfaces, which causes air to flow outward underneath and inward on top, generating wingtip vortices and downwash."
Principles of Flight,5331,What is the effect of high aspect ratio of an aeroplane's wing on induced drag?,It is reduced because the effect of wing-tip vortices is reduced.,It is increased because high aspect ratio has greater frontal area.,It is unaffected because there is no relation between aspect ratio and induced drag.,It is increased because high aspect ratio produces greater downwash.,A,"A high aspect ratio wing has a long span and a narrow chord, which reduces the proportion of the wing affected by wingtip vortices, thereby reducing the induced drag."
Principles of Flight,5332,Which of the following wing planforms produces the lowest induced drag? (all other relevant factors constant),Elliptical.,Rectangular.,Tapered.,Circular.,A,"An elliptical wing planform produces a uniform downwash distribution along the span, which yields the lowest possible induced drag for a given aspect ratio."
Principles of Flight,5333,Induced drag may be reduced by:,an increase in aspect ratio,an increase in the taper ratio of the wing,a decrease of the aspect ratio,the use of a wing tip with a much thinner aerofoil,A,"Induced drag is inversely proportional to the aspect ratio. Increasing the aspect ratio (a longer wing span relative to the chord) reduces the strength of the wingtip vortices and downwash, decreasing induced drag."
Principles of Flight,5334,The induced drag:,increases as the lift coefficient increases.,increases as the aspect ratio increases.,has no relation to the lift coefficient.,increases as the magnitude of the tip vortices decreases.,A,"Induced drag is directly proportional to the square of the lift coefficient (CL^2). Therefore, as the lift coefficient increases, the induced drag increases."
Principles of Flight,5335,The relationship between induced drag and the aspect ratio is:,a decrease in the aspect ratio increases the induced drag,there is no relationship,induced drag = 1.3 aspect ratio value,an increase in the aspect ratio increases the induced drag,A,"Induced drag is inversely proportional to the aspect ratio (AR). A decrease in the aspect ratio increases the strength of the wingtip vortices and downwash, which increases the induced drag."
Principles of Flight,5336,A high aspect ratio wing produces:,a decrease in induced drag,less sensitivity to gust effects,a decrease in stall speed,an increase in induced drag,A,"A high aspect ratio wing (long, narrow wings) reduces the size and strength of wingtip vortices, resulting in a decrease in the induced drag."
Principles of Flight,5337,"Excluding constants, the coefficient of induced drag (CDi) is the ratio of :",CL² and AR (aspect ratio),CL and CD,CL and b (wing span),CL²and S (wing surface),A,"The coefficient of induced drag (CDi) is mathematically defined as: CDi = CL^2 / (pi * AR * e), where CL is the lift coefficient, AR is the aspect ratio, and e is the wing efficiency factor."
Principles of Flight,5338,"High Aspect Ratio, as compared with low Aspect Ratio, has the effect of :",Decreasing induced drag and critical angle of attack,Increasing lift and critical angle of attack,Increasing lift and drag,Increasing induced drag and decreasing critical angle of attack,A,"A high aspect ratio wing reduces induced drag due to smaller wingtip vortices, but the steeper lift curve slope causes the critical angle of attack (stalling angle) to decrease compared to a low aspect ratio wing."
Principles of Flight,5339,Winglets,decrease the induced drag.,decrease the static lateral stability.,increase the manoeuvrability.,create an elliptical lift distribution.,A,"Winglets are aerodynamic devices installed on the wingtips that reduce the flow around the tip from the high-pressure bottom to the low-pressure top, thereby decreasing the strength of tip vortices and induced drag."
Principles of Flight,5340,Which location on the aeroplane has the largest effect on the induced drag ?,Wing tip,Engine cowling,Wing root junction,Landing gear,A,"Induced drag is caused by the formation of wingtip vortices due to the pressure differential rolling over the edge. Thus, the wingtip has the largest effect on the generation of induced drag."
Principles of Flight,5341,The induced angle of attack is the result of:,downwash due to tip vortices.,a large local angle of attack in a two dimensional flow.,downwash due to flow separation.,change in direction of flow due to the effective angle of attack.,A,"The wingtip vortices create a downward deflection of air behind the wing (downwash). This downwash rotates the local relative wind downwards, creating an induced angle of attack that tilts the lift vector backward."
Principles of Flight,5342,"The induced drag coefficient, CDi is proportional with:",CL²,CL,square root (CL),CLmax,A,The induced drag coefficient (CDi) is directly proportional to the square of the lift coefficient (CL^2).
Principles of Flight,5343,(For this question use annex 081-6239A)Which one of the bodies in motion (all bodies have the same cross section area) will have lowest drag?,Body c,Body a,Body b,Body d,A,"A streamlined body (teardrop shape, option c) reduces flow separation and minimizes pressure drag, resulting in the lowest overall drag coefficient compared to flat plates, cylinders, or wedges."
Principles of Flight,5344,The interference drag is created as a result of,interaction between aeroplane parts (e.g. wing/fuselage).,downwash behind the wing.,separation of the induced vortex.,the addition of induced and parasite drag.,A,"Interference drag is a form of parasite drag caused by the mixing of boundary layers and airflow at the junctions of different aircraft components, such as the wing-to-fuselage joint."
Principles of Flight,5345,The value of the parasite drag in straight and level flight at constant weight varies linearly with the:,square of the speed.,speed.,angle of attack.,square of the angle of attack.,A,"Parasite drag (Dp = CDp * 0.5 * rho * V^2 * S) is directly proportional to the dynamic pressure. Therefore, at a constant weight and altitude, parasite drag varies linearly with the square of the airspeed."
