chapter,question_number,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
Meteorology,3295,The temperature at FL 110 is -5°C. What will the temperature be at FL 50 if the ICAO standard lapse rate is applied ?,+7°C,+3°C,0°C,-3°C,A,From FL 110 to FL 50 is a descent of 6000 ft. Applying the lapse rate of 2°C/1000 ft (12°C rise) to -5°C yields +7°C.
Meteorology,3296,The temperature at FL 160 is -22°C. What will the temperature be at FL 90 if the ICAO standard lapse rate is applied ?,-8°C,-4°C,0°C,+4°C,A,From FL 160 to FL 90 is a descent of 7000 ft. Applying the lapse rate of 2°C/1000 ft (14°C rise) to -22°C yields -8°C.
Meteorology,3297,"A temperature of +15°C is recorded at an altitude of 500 metres above sea level. If the vertical temperature gradient is that of a standard atmosphere, what will the temperature be at the summit of a mountain, 2500 metres above sea level?",+2°C,+4°C,0°C,-2°C,A,"A height increase of 2000m at the standard lapse rate of 0.65°C/100m yields a 13°C drop, reducing 15°C at 500m to 2°C at 2500m."
Meteorology,3298,How would you characterise an air temperature of -15°C at the 700 hPa level over western Europe?,Low,High,Within +/-5°C of ISA,20°C below standard,A,"At 700 hPa (approx 10,000 ft), standard temp is -5°C. A temperature of -15°C represents a significant negative deviation, which is low."
Meteorology,3299,How would you characterise an air temperature of -30°C at the 300 hPa level over western Europe?,High,Within +/-5°C of ISA,Low,Very low,A,"At 300 hPa (approx 30,000 ft), standard temp is -45°C. A temperature of -30°C represents a significant positive deviation, which is high."
Meteorology,3300,How would you characterise an air temperature of -55°C at the 200 hPa level over western Europe?,Within +/-5°C of ISA,High,Low,Very high,A,"At 200 hPa (approx 39,000 ft), the standard temperature is -56.5°C, meaning a measured temperature of -55°C is within +/-5°C of ISA."
Meteorology,3301,In the lower part of the stratosphere the temperature,is almost constant,decreases with altitude,increases with altitude,increases at first and decreases afterward,A,"In the lower part of the stratosphere, temperature is almost constant (isothermal) before beginning to increase at higher altitudes."
Meteorology,3302,Which is true of the temperature at the tropopause?,It is higher in polar regions than in equatorial regions,It is higher in equatorial regions than in polar regions,It is highest in middle latitudes,There is no significant difference with change of latitude,A,The tropopause temperature is higher in polar regions (approx -45°C) than in equatorial regions (approx -75°C) due to height differences.
Meteorology,3303,Several physical processes contribute to atmospheric warming. Which of the following contribute the most ?,Convection and condensation.,Solar radiation and conduction.,Absorption and vaporization.,Absorption and evaporation.,A,Convection (vertical movement of air) and condensation (latent heat release) are the primary processes that warm the atmosphere from the ground.
Meteorology,3304,Convective activity over land in mid-latitudes is greatest in,summer in the afternoon.,winter during the night and early morning.,summer during the night and early morning.,winter in the afternoon.,A,Convective activity over land is greatest during summer afternoons when solar radiation has heated the surface to its maximum diurnal temperature.
Meteorology,3305,Advection is :,horizontal motion of air,vertical motion of air,the same as subsidence,the same as convection,A,Advection is the term used to describe the horizontal movement of air or air mass properties.
Meteorology,3306,The radiation of the sun heats,"the surface of the earth, which heats the air in the troposphere",the air in the troposphere directly,the water vapour in the air of the troposphere,the air in the troposphere only directly if no clouds are present,A,"Solar radiation passes through the atmosphere and heats the Earth's surface, which then heats the adjacent tropospheric air from below."
Meteorology,3307,A layer is conditionally unstable if the air,is unstable for saturated air and stable for dry air.,is stable for saturated air and unstable for dry air.,becomes stable by lifting it.,is unstable for saturated air as well as for dry air.,A,A layer is conditionally unstable if the environmental lapse rate lies between the dry adiabatic (stable) and saturated adiabatic (unstable) lapse rates.
Meteorology,3308,Absolute instability exists whenever the environmental lapse rate,exceeds the dry adiabatic lapse rate.,exceeds the saturated adiabatic lapse rate.,is less than the saturated adiabatic lapse rate.,is between the dry and saturated adiabatic lapse rate.,A,"Absolute instability occurs when the environmental lapse rate exceeds the dry adiabatic lapse rate, meaning any air parcel will rise."
Meteorology,3309,In an air mass with no clouds the surface temperature is 15°C and 13°C at 1000m. This layer of air is:,stable,unstable,a layer of heavy turbulence,conditionally unstable,A,"A temp drop of 2°C over 1000m (0.2°C/100m) is less than both the dry and wet adiabatic lapse rates, meaning the layer is stable."
Meteorology,3310,The dry adiabatic lapse rate,has a constant fixed value,is greater in summer than in winter,is greater during the night than during the day,has a variable value,A,The dry adiabatic lapse rate represents a thermodynamic constant of approximately 1°C per 100 m (or 3°C per 1000 ft).
Meteorology,3311,An air mass is called stable when,the vertical motion of rising air tends to become weaker and disappears,the temperature in a given air mass decreases rapidly with height,the pressure in a given area is constant,"the environmental lapse rate is high, with little vertical motion of air currents",A,"An air mass is stable when the environmental lapse rate is small, meaning vertical air currents are suppressed and quickly disappear."
Meteorology,3312,A layer can be,stable for unsaturated air and unstable for saturated air,stable for saturated air and unstable for unsaturated air,unstable for unsaturated air and neutral for saturated air,unstable for unsaturated air and conditionally unstable,A,A layer is conditionally unstable when it is stable for unsaturated (dry) air but unstable for saturated (wet) air.
Meteorology,3313,From which of the following pieces of information can the stability of the atmosphere be derived?,Environmental lapse rate,Surface temperature,Dry adiabatic lapse rate,Pressure at the surface,A,The stability of a layer in the atmosphere is determined by comparing the actual environmental lapse rate to the adiabatic lapse rates.
Meteorology,3314,When in the upper part of a layer warm air is advected the,stability increases in the layer,stability decreases in the layer,wind will back with increasing height in the northern hemisphere,wind speed will always decrease with increasing height in the northern hemisphere,A,"Advecting warm air into the upper part of a layer increases the temperature aloft, reducing the lapse rate and increasing stability."
Meteorology,3315,An inversion is a layer of air which is,absolutely stable,absolutely unstable,conditionally unstable,conditionally stable,A,"A temperature inversion (temperature increasing with height) has a negative lapse rate, making the layer absolutely stable."
Meteorology,3316,The environmental lapse rate in an actual atmosphere,varies with time,has a fixed value of 1°C/100m,has a fixed value of 0.65°C/100m,has a fixed value of 2°C/1000 FT,A,"The environmental lapse rate is the actual vertical temperature gradient of the atmosphere, which varies dynamically with time and location."
Meteorology,3317,The dry adiabatic lapse rate has a value of,1°C/100m,2°C/1000FT,0.65°C/100m,0.5°C/100m,A,The dry adiabatic lapse rate is a constant physical value of approximately 1°C per 100 m (or 3°C per 1000 ft).
Meteorology,3318,In still air the temperature decreases at an average of 1.2°C per 100 m increase in altitude. This temperature change is called:,environmental lapse rate,saturated adiabatic lapse rate,dry adiabatic lapse rate,normal lapse rate,A,The actual change in temperature with height measured in the atmosphere at a specific time is called the environmental lapse rate.
Meteorology,3319,The value of the saturated adiabatic lapse rate is closest to that of the dry adiabatic lapse rate in,cirrus,freezing fog,stratus,cumulus,A,The saturated adiabatic lapse rate approaches the dry adiabatic lapse rate (1°C/100m) at very low temperatures (e.g. in cirrus levels) where water vapor is minimal.
Meteorology,3320,Which of the following is a common cause of ground or surface temperature inversion ?,Terrestrial radiation on a clear night with no or very light winds.,"Warm air being lifted rapidly aloft, in the vicinity of mountainous terrain.","The movement of colder air under warm air, or the movement of warm air over cold air.",Heating of the air by subsidence,A,A ground temperature inversion is typically caused by terrestrial radiation cooling the surface on a clear night with little or no wind.
Meteorology,3321,Which of the following is a common result of subsidence ?,"An inversion over a large area with haze, mist.",CB-clouds and thunderstorms over a large area.,Wide spread NS and AS clouds and intense precipitation.,Clear air turbulence at higher altitudes .,A,"Subsidence (sinking air) causes adiabatic warming aloft, creating a stable subsidence inversion that traps moisture and dust as haze or mist."
Meteorology,3322,What is the technical term for an increase in temperature with altitude?,Inversion,Subsidence,Adiabatic,Advection,A,A temperature inversion is the meteorological term for an atmospheric layer in which temperature increases with altitude.
Meteorology,3323,What characteristic is associated with a temperature inversion ?,Stability,Instability,Clear ice,Area of active storms,A,"A temperature inversion acts as a strong lid on vertical motion, making the layer highly stable and trapping pollutants."
Meteorology,3324,A significant inversion at low height is a characteristic of,nocturnal radiation,the passage of cold front,advection fog,cumulus clouds,A,A significant low-level inversion is most commonly caused by nocturnal radiation cooling the surface under a clear sky.
Meteorology,3325,An inversion is a layer of air in which the temperature,increases with height,remains constant with height,increases with height more than 1°C/100m,decreases with height more than 1°C/100m,A,An inversion is defined as a layer of air in which the temperature increases as height increases.
Meteorology,3326,An isothermal layer is a layer of air in which the temperature,remains constant with height,increases with height,decreases with height at a constant rate,increases with height at a constant rate,A,An isothermal layer is a layer of air in which the temperature remains constant with height (lapse rate of 0).
Meteorology,3327,An inversion is,an increase of temperature with height,an increase of pressure with height,a decrease of pressure with height,a decrease of temperature with height,A,An inversion is characterized by an increase of air temperature with increasing height.
Meteorology,3328,The diurnal variation in temperature is largest when the sky is,clear and winds are weak,clear and winds are strong,overcast and winds are weak,overcast and winds are strong,A,The diurnal temperature variation is largest when the sky is clear (maximum solar input and radiative cooling) and winds are weak (no mixing).
Meteorology,3329,"Around Paris on January 3rd at 1800 UTC, the surface temperature, under shelter, is 3°C. The sky is covered by 8 oktas of stratus. QNH is 1033 hPa. If the sky is covered all night, the minimum temperature of the night of January 3rd to January 4th should be",slightly below +3°C.,significantly below 0°C.,slightly above +3°C.,significantly above +3°C.,A,"Under a thick overcast layer of stratus clouds, radiative cooling is blocked, so the night temperature will fall only slightly below 3°C."
Meteorology,3330,"On a clear sky, continental ground surface, wind calm, the minimum temperature is reached approximately",half an hour after sunrise,half an hour before sunrise,at the moment the sun rises,one hour before sunrise,A,The minimum temperature on a clear night is reached shortly after sunrise because the ground continues to radiate heat until solar input builds up.
Meteorology,3331,What positions are connected by isobars on the surface weather chart?,Positions with the same air pressure at a given level,Positions with the same temperature at a given level,Positions with the same wind velocity at a given level,Positions with the same relative pressure heights,A,Isobars are lines drawn on a weather chart connecting points of equal atmospheric pressure reduced to sea level.
Meteorology,3332,The station pressure used in surface weather charts is,QFF,QFE,QNH,QNE,A,"The station pressure reduced to sea level using actual temperature conditions is QFF, which is used on surface weather charts."
Meteorology,3333,The isobars drawn on a surface weather chart represent lines of equal pressure,reduced to sea level,at flight level,at height of observatory,at a determined density altitude,A,Isobars on a surface chart represent lines of equal pressure reduced to mean sea level (MSL) to allow comparison between stations.
Meteorology,3334,Isobars on a surface chart are lines of equal,QFF,QFE,QNE,QNH,A,Isobars on a surface weather chart are lines of equal QFF pressure.
Meteorology,3335,(For this question use annex 050-10850A)The pressure distribution located mainly in square 2A is a,ridge of high pressure,col,trough of low pressure,depression,A,"Looking at the pressure distribution chart, a trough of low pressure (an elongated area of relatively low pressure) is located in square 2A."
Meteorology,3336,"(For this question use annex 050-10784A)The pressure system at position """"D"""" is a",col,secondary low,trough of low pressure,ridge of high pressure,A,"Based on the pressure chart, the pressure system located at position D represents a ridge of high pressure."
Meteorology,3337,In the troposphere the decrease of pressure per 100 m increase in height,is smaller at higher levels than at lower levels.,remains constant at all levels.,is greater at higher levels than at lower levels.,is in the order of 27 hPa near MSL.,A,"The rate of pressure decrease with height is directly proportional to air density; because air is less dense aloft, the decrease is smaller at higher levels."
Meteorology,3338,What is the approximate vertical interval which is equal to a pressure change of 1 hPa at an altitude of 5500 m ?,15 m (50 FT).,8 m (27 FT).,32 m (105 FT).,64 m (210 FT).,A,"At an altitude of 5500 m (approx. 500 hPa), the air is half as dense as at sea level, requiring a vertical interval of 16 m (50 ft) for a 1 hPa change."
Meteorology,3339,Which of the following is true concerning atmospheric pressure ?,It decreases with height,It is higher in winter than in summer,It is higher at night than during the day,It always decreases with height at a rate of 1 hPa per 8m,A,Atmospheric pressure decreases with height because the weight of the air column above decreases as altitude increases.
Meteorology,3340,An isohypse (contour),indicates the true altitude of a pressure level,is the longest slope line of a frontal surface,is the limit between two air masses of different temperature,indicates the altitude of the zero degree isotherm,A,An isohypse (or contour line) on an upper-level chart connects points of equal geopotential height of a constant pressure surface.
Meteorology,3341,"In order to calculate QFE from QNH, which of the following must be known ?",Elevation of the airfield.,Temperature at the airfield.,Elevation of the airfield and the temperature at MSL.,Elevation and the temperature at the airfield.,A,"To convert QNH to QFE, the airfield elevation must be known to calculate the standard pressure difference of the air column."
Meteorology,3342,The QFF at an airfield located 400 metres above sea level is 1016 hPa. The air temperature is 10°C higher than a standard atmosphere. What is the QNH?,More than 1016 hPa,1016 hPa,Less than 1016 hPa,It is not possible to give a definitive answer,A,"Since actual temperature is warmer than standard, the actual density is lower, meaning QNH (calculated via standard temp) is higher than QFF."
Meteorology,3343,The QFF at an airfield located 400 metres above sea level is 1016 hPa. The air temperature is 10°C lower than a standard atmosphere. What is the QNH?,Less than 1016 hPa,More than 1016 hPa,1016 hPa,It is not possible to give a definitive answer,A,"When the actual temperature is colder than standard, the air column is denser, which makes QNH less than QFF."
Meteorology,3344,The QNH at an airfield located 200 metres above sea level is 1009 hPa. The air temperature is 10°C lower than a standard atmosphere. What is the QFF?,More than 1009 hPa,1009 hPa,Less than 1009 hPa,It is not possible to give a definitive answer,A,"With actual temperature colder than standard, the denser air column causes the QFF (using actual density) to be higher than QNH."
Meteorology,3345,The QNH at an airfield located 200 metres above sea level is 1022 hPa. The air temperature is not available. What is the QFF?,It is not possible to give a definitive answer,More than 1022 hPa,1022 hPa,Less than 1022 hPa,A,"Without air temperature data, it is impossible to calculate the density correction, so QFF cannot be definitively calculated from QNH."
Meteorology,3346,The QNH at an airfield located 0 metres above sea level is 1022 hPa. The air temperature is not available. What is the QFF?,1022 hPa,Less than 1022 hPa,More than 1022 hPa,It is not possible to give a definitive answer,A,"For an airfield at MSL (0 metres elevation), no elevation correction is needed, so QNH is exactly equal to QFF."
Meteorology,3347,The QNH at an airfield in California located 69 metres below sea level is 1018 hPa. The air temperature is 10°C higher than a standard atmosphere. What is the QFF?,More than 1018 hPa,Less than 1018 hPa,1018 hPa,It is not possible to give a definitive answer,A,"For an airfield below sea level in warm air, the warmer air column decreases density, making QFF greater than QNH."
Meteorology,3348,The QFF at an airfield in California located 69 metres below sea level is 1030 hPa. The air temperature is 10°C lower than a standard atmosphere. What is the QNH?,More than 1030 hPa,Less than 1030 hPa,1030 hPa,It is not possible to give a definitive answer,A,"For an airfield below sea level in cold air, the denser air column causes the calculated QNH to be greater than QFF."
Meteorology,3349,"If the QFE at Locarno (200 metres above sea level) is 980 hPa, what is the approximate QNH ?",1005 hPa,1000 hPa,1015 hPa,1010 hPa,A,"At 200m elevation (approx. 25 hPa height difference), QNH is calculated by adding 25 hPa to QFE: 980 + 25 = 1005 hPa."
Meteorology,3350,"If the QFE at Locarno (200 metres above sea level) is 1000 hPa, what is the approximate QNH?",1025 hPa,985 hPa,990 hPa,1035 hPa,A,"At 200m elevation (approx. 25 hPa height difference), QNH is calculated by adding 25 hPa to QFE: 1000 + 25 = 1025 hPa."
Meteorology,3351,"If the QNH at Locarno (200 metres above sea level) is 1015 hPa, what is the approximate QFE?(Assume 1hPa = 8m)",990 hPa,995 hPa,1000 hPa,1005 hPa,A,"At 200m elevation (approx. 25 hPa height difference), QFE is calculated by subtracting 25 hPa from QNH: 1015 - 25 = 990 hPa."
Meteorology,3352,"If the QNH at Locarno (200 metres above sea level) is 1025 hPa, what is the approximate QFE?",1000 hPa,995 hPa,1005 hPa,1025 hPa,A,"At 200m elevation (approx. 25 hPa height difference), QFE is calculated by subtracting 25 hPa from QNH: 1025 - 25 = 1000 hPa."
Meteorology,3353,QNH is defined as,QFE reduced to MSL using the values of the standard atmosphere,pressure at MSL in the standard atmosphere,pressure at MSL in the actual atmosphere,QFE reduced to MSL using the values of the actual atmosphere,A,QNH is defined as the station pressure (QFE) reduced to mean sea level assuming standard atmosphere temperature values.
Meteorology,3354,"In order to reduce QFE to QNH, which of the following item(s) must be known ?",Elevation of the airfield,Temperature at the airfield,Elevation of the airfield and the temperature at MSL,Elevation of the airfield and the temperature at the airfield,A,"To reduce QFE to QNH, only the airfield elevation must be known, as standard atmosphere temperature parameters are used by definition."
Meteorology,3355,"At FL 180, the air temperature is -35°C.The air density at this level is:",Greater than the density of the ISA atmosphere at FL 180.,Less than the density of the ISA atmosphere at FL 180.,Equal to the density of the ISA atmosphere at FL 180.,Unable to be determined without knowing the QNH.,A,"Standard temperature at FL 180 is -21°C. A temperature of -35°C is colder than standard, which increases the air density."
Meteorology,3356,Under what condition does pressure altitude have the same value as density altitude ?,At standard temperature.,At sea level when the temperature is 0°C.,When the altimeter has no position error.,"When the altimeter setting is 1013,2 hPa.",A,"Density altitude equals pressure altitude under standard ISA temperature conditions, where no temperature correction is required."
Meteorology,3357,Half the mass of the atmosphere is found in the first,5 km,3 km,8 km,11 km,A,"Because air is highly compressible, about 50% of the total atmospheric mass is concentrated in the lowest 5 km of the atmosphere."
Meteorology,3358,The lowest assumed temperature in the International Standard Atmosphere (ISA) is :,-56.5°C,-273°C,-44.7°C,-100°C,A,The International Standard Atmosphere (ISA) assumes a constant minimum temperature of -56.5°C at and above the tropopause.
Meteorology,3359,A 200 hPa pressure altitude level can vary in height. In temperate regions which of the following average heights is applicable ?,FL 390.,FL 300.,FL 100.,FL 50.,A,"In temperate regions, the average height of the 200 hPa pressure level corresponds to FL 390 (approximately 39,000 feet)."
Meteorology,3360,A 300 hPa pressure level can vary in height. In temperate regions which of the following average heights is applicable ?,FL 300,FL 390,FL 100,FL 50,A,"In temperate regions, the average height of the 300 hPa pressure level corresponds to FL 300 (approximately 30,000 feet)."
Meteorology,3361,A 500 hPa pressure level can vary in height. In temperate regions which of the following average heights is applicable ?,FL 180,FL 160,FL 100,FL 390,A,"In temperate regions, the average height of the 500 hPa pressure level corresponds to FL 180 (approximately 18,000 feet)."
Meteorology,3362,A 700 hPa pressure level can vary in height. In temperate regions which of the following average heights is applicable ?,FL 100,FL 180,FL 300,FL 390,A,"In temperate regions, the average height of the 700 hPa pressure level corresponds to FL 100 (approximately 10,000 feet)."
Meteorology,3363,A 850 hPa pressure level can vary in height. In temperate regions which of the following average heights is applicable ?,FL 50,FL100,FL 300,FL 390,A,"In temperate regions, the average height of the 850 hPa pressure level corresponds to FL 50 (approximately 5,000 feet)."
Meteorology,3364,"If you are flying at FL 300 in an air mass that is 15°C warmer than a standard atmosphere, what is the outside temperature likely to be?",-30°C,-45°C,-60°C,-15°C,A,Standard temperature at FL 300 is -45°C. A +15°C temperature deviation yields an outside air temperature of -30°C.
Meteorology,3365,"If you are flying at FL 100 in an air mass that is 10°C warmer than a standard atmosphere, what is the outside temperature likely to be?",+5°C,+15°C,-10°C,-15°C,A,Standard temperature at FL 100 is -5°C. A +10°C temperature deviation yields an outside air temperature of +5°C.
Meteorology,3366,"If you are flying at FL 120 and the outside temperature is -2°C, at what altitude will the """"freezing level"""" be?",FL 110,FL 130,FL 150,FL 90,A,A temperature of -2°C at FL 120 means the freezing level (0°C) is 1000 ft lower (warmer by 2°C) at FL 110.
Meteorology,3367,How does temperature vary with increasing altitude in the ICAO standard atmosphere below the tropopause?,Decreases,Increases,At first it increases and higher up it decreases,Remains constant,A,"In the standard atmosphere, temperature decreases at a constant lapse rate of 0.65°C per 100 m up to the tropopause."
Meteorology,3368,"What is the vertical temperature lapse rate, up to 11 km, in the standard ICAO atmosphere ?",6.5°C per 1000 m,4.5°C per 1000 m,3°C per 1000 m,2°C per 1000 m,A,"In the ICAO standard atmosphere, the temperature decreases at a constant lapse rate of 6.5°C per 1000 m (or 1.98°C per 1000 ft) below 11 km."
Meteorology,3369,In the International Standard Atmosphere the decrease in temperature with height below 11 km is,0.65°C per 100m,1°C per 100m,0.5°C per 100m,0.6°C per 100m,A,"Below 11 km in the standard atmosphere, temperature decreases at a constant rate of 0.65°C per 100 m."
Meteorology,3370,Which statement is correct regarding the International Standard Atmosphere ?,At MSL temperature is 15°C and pressure is 1013.25hPa,At MSL temperature is 15°C and the decrease in temperature with height is 1°C per 100m,At MSL temperature is 10°C and the decrease in temperature with height is 1°C per 100m,At MSL pressure is 1013.25 hPa and the decrease of temperature with height is 1°C per 100m,A,The ICAO standard atmosphere defines mean sea level (MSL) values as a temperature of 15°C and a pressure of 1013.25 hPa.
Meteorology,3371,In what hPa range is an upper weather chart for FL 340 situated?,300 - 200 hPa,400 - 300 hPa,500 - 400 hPa,600 - 500 hPa,A,"FL 340 (34,000 ft) lies between the standard 300 hPa (~30,000 ft) and 200 hPa (~39,000 ft) upper weather charts."
Meteorology,3372,The temperature at 10000 FT in the International Standard Atmosphere is :,-5°C,0°C,-20°C,-35°C,A,"Standard temperature at sea level is 15°C. Decreasing at 2°C per 1000 ft, the standard temperature at 10,000 ft is -5°C."
Meteorology,3373,The rate of decrease of temperature with height per 100 m in the International Standard Atmosphere is :,0.65°C,1°C,0.5°C,variable,A,The vertical temperature lapse rate in the standard atmosphere is a constant value of 0.65°C per 100 m (or 1.98°C per 1000 ft).
Meteorology,3374,The QNH of an airport at sea level is 983 hPa and the temperature deviation from ISA is -15°C below FL 100.What is the true altitude of FL 100?,8590 FT.,10210 FT.,9790 FT.,11410 FT.,A,"With QNH 983 hPa (30 hPa below standard, reducing true height by 810 ft) and ISA -15°C (reducing height by 6%), FL 100 true altitude is 8590 ft."
Meteorology,3375,"You plan a flight over a mountain range at a true altitude of 15000 FT/AMSL. The air is on an average 15°C colder than ISA, the pressure at sea level is 1003 hPa. What indication must the altimeter (setting 1013.2 hPa) read?",16230 FT.,15690 FT.,14370 FT.,13830 FT.,A,"A true altitude of 15,000 ft in ISA -15°C air makes the altimeter overread by 6% (900 ft), and a QNH of 1003 hPa adds 300 ft, totaling 16,230 ft."
Meteorology,3376,"During a flight at FL 100 from Marseille (QNH 1012 hPa) to Palma de Mallorca (QNH 1015 hPa), an aircraft remains at a constant true altitude. The reason for this is that :",the air at Marseille is warmer than that at Palma de Mallorca.,"the altimeters are erroneous, and need to be tested.",the air at Marseille is colder than that at Palma de Mallorca.,one of the two QNH values may be incorrect.,A,"Palma has higher pressure than Marseille, but Marseille is warmer. The warmer air column over Marseille offsets the pressure difference, keeping true altitude constant."
